index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
456,"־\w הַ⁠מִּנְחָ֔ה|lemma=""מִנְחָה"" strong=""d:H4503"" x-morph=""He,Td:Ncfsa"" x-tw=""rc://*/tw/dict/bible/other/grainoffering""",2,13, הַ⁠מִּנְחָ֔ה,־,"He,Td:Ncfsa",מִנְחָה,d:H4503,True,H4503,rc://*/tw/dict/bible/other/grainoffering,456,1,1,39-MAL
457," \w וְ⁠לָ⁠קַ֥חַת|lemma=""לָקַח"" strong=""c:l:H3947"" x-morph=""He,C:R:Vqc""",2,13, וְ⁠לָ⁠קַ֥חַת,,"He,C:R:Vqc",לָקַח,c:l:H3947,True,H3947,,457,1,1,39-MAL
458," \w רָצ֖וֹן|lemma=""רָצוֹן"" strong=""H7522"" x-morph=""He,Ncmsa""",2,13, רָצ֖וֹן,,"He,Ncmsa",רָצוֹן,H7522,False,H7522,,458,1,1,39-MAL
459," \w מִ⁠יֶּדְ⁠כֶֽם|lemma=""יָד"" strong=""m:H3027"" x-morph=""He,R:Ncbsc:Sp2mp"" x-tw=""rc://*/tw/dict/bible/other/hand""",2,13, מִ⁠יֶּדְ⁠כֶֽם,,"He,R:Ncbsc:Sp2mp",יָד,m:H3027,True,H3027,rc://*/tw/dict/bible/other/hand,459,1,1,39-MAL
461,"\w וַ⁠אֲמַרְתֶּ֖ם|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqq2mp""",2,14, וַ⁠אֲמַרְתֶּ֖ם,,"He,C:Vqq2mp",אָמַר,c:H0559,True,H0559,,461,1,1,39-MAL
462," \w עַל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",2,14, עַל,,"He,R",עַל,H5921a,False,H5921a,,462,1,1,39-MAL
463,"־\w מָ֑ה|lemma=""מָה"" strong=""H4100"" x-morph=""He,Ti""",2,14, מָ֑ה,־,"He,Ti",מָה,H4100,False,H4100,,463,1,1,39-MAL
464," \w עַ֡ל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",2,14, עַ֡ל,,"He,R",עַל,H5921a,False,H5921a,,464,1,1,39-MAL
465," \w כִּי|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",2,14, כִּי,,"He,C",כִּי,H3588a,False,H3588a,,465,1,1,39-MAL
466,"־\w יְהוָה֩|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",2,14, יְהוָה֩,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,466,1,1,39-MAL
467," \w הֵעִ֨יד|lemma=""עוּד"" strong=""H5749b"" x-morph=""He,Vhp3ms"" x-tw=""rc://*/tw/dict/bible/kt/testimony""",2,14, הֵעִ֨יד,,"He,Vhp3ms",עוּד,H5749b,False,H5749,rc://*/tw/dict/bible/kt/testimony,467,1,1,39-MAL
468," \w בֵּינְ⁠ךָ֜|lemma=""בֵּין"" strong=""H0996"" x-morph=""He,R:Sp2ms""",2,14, בֵּינְ⁠ךָ֜,,"He,R:Sp2ms",בֵּין,H0996,False,H0996,,468,1,1,39-MAL
469," \w וּ⁠בֵ֣ין|lemma=""בֵּין"" strong=""c:H0996"" x-morph=""He,C:R""",2,14, וּ⁠בֵ֣ין,,"He,C:R",בֵּין,c:H0996,True,H0996,,469,1,1,39-MAL
470," ׀ \w אֵ֣שֶׁת|lemma=""אִשָּׁה"" strong=""H0802"" x-morph=""He,Ncfsc""",2,14, אֵ֣שֶׁת,׀ ,"He,Ncfsc",אִשָּׁה,H0802,False,H0802,,470,1,1,39-MAL
471," \w נְעוּרֶ֗י⁠ךָ|lemma=""נָעוּר"" strong=""H5271a"" x-morph=""He,Ncbpc:Sp2ms""",2,14, נְעוּרֶ֗י⁠ךָ,,"He,Ncbpc:Sp2ms",נָעוּר,H5271a,False,H5271a,,471,1,1,39-MAL
472," \w אֲשֶׁ֤ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",2,14, אֲשֶׁ֤ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,472,1,1,39-MAL
473," \w אַתָּה֙|lemma=""אַתָּה"" strong=""H0859a"" x-morph=""He,Pp2ms""",2,14, אַתָּה֙,,"He,Pp2ms",אַתָּה,H0859a,False,H0859a,,473,1,1,39-MAL
474," \w בָּגַ֣דְתָּה|lemma=""בָּגַד"" strong=""H0898"" x-morph=""He,Vqp2ms""",2,14, בָּגַ֣דְתָּה,,"He,Vqp2ms",בָּגַד,H0898,False,H0898,,474,1,1,39-MAL
475," \w בָּ֔⁠הּ|lemma="""" strong=""b"" x-morph=""He,R:Sp3fs""",2,14, בָּ֔⁠הּ,,"He,R:Sp3fs",,b,False,,,475,1,1,39-MAL
476," \w וְ⁠הִ֥יא|lemma=""הוּא"" strong=""c:H1931"" x-morph=""He,C:Pp3fs""",2,14, וְ⁠הִ֥יא,,"He,C:Pp3fs",הוּא,c:H1931,True,H1931,,476,1,1,39-MAL
477," \w חֲבֶרְתְּ⁠ךָ֖|lemma=""חֲבֶרֶת"" strong=""H2278"" x-morph=""He,Ncfsc:Sp2ms""",2,14, חֲבֶרְתְּ⁠ךָ֖,,"He,Ncfsc:Sp2ms",חֲבֶרֶת,H2278,False,H2278,,477,1,1,39-MAL
478," \w וְ⁠אֵ֥שֶׁת|lemma=""אִשָּׁה"" strong=""c:H0802"" x-morph=""He,C:Ncfsc""",2,14, וְ⁠אֵ֥שֶׁת,,"He,C:Ncfsc",אִשָּׁה,c:H0802,True,H0802,,478,1,1,39-MAL
479," \w בְּרִיתֶֽ⁠ךָ|lemma=""בְּרִית"" strong=""H1285"" x-morph=""He,Ncfsc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/kt/covenant""",2,14, בְּרִיתֶֽ⁠ךָ,,"He,Ncfsc:Sp2ms",בְּרִית,H1285,False,H1285,rc://*/tw/dict/bible/kt/covenant,479,1,1,39-MAL
481,"\w וְ⁠לֹא|lemma=""לֹא"" strong=""c:H3808"" x-morph=""He,C:Tn""",2,15, וְ⁠לֹא,,"He,C:Tn",לֹא,c:H3808,True,H3808,,481,1,1,39-MAL
482,"־\w אֶחָ֣ד|lemma=""אֶחָד"" strong=""H0259"" x-morph=""He,Acmsa""",2,15, אֶחָ֣ד,־,"He,Acmsa",אֶחָד,H0259,False,H0259,,482,1,1,39-MAL
483," \w עָשָׂ֗ה|lemma=""עָשָׂה"" strong=""H6213a"" x-morph=""He,Vqp3ms""",2,15, עָשָׂ֗ה,,"He,Vqp3ms",עָשָׂה,H6213a,False,H6213a,,483,1,1,39-MAL
484," \w וּ⁠שְׁאָ֥ר|lemma=""שְׁאָר"" strong=""c:H7605"" x-morph=""He,C:Ncmsc""",2,15, וּ⁠שְׁאָ֥ר,,"He,C:Ncmsc",שְׁאָר,c:H7605,True,H7605,,484,1,1,39-MAL
485," \w ר֨וּחַ֙|lemma=""רוּחַ"" strong=""H7307"" x-morph=""He,Ncbsa"" x-tw=""rc://*/tw/dict/bible/kt/spirit""",2,15, ר֨וּחַ֙,,"He,Ncbsa",רוּחַ,H7307,False,H7307,rc://*/tw/dict/bible/kt/spirit,485,1,1,39-MAL
486," \w ל֔⁠וֹ|lemma="""" strong=""l"" x-morph=""He,R:Sp3ms""",2,15, ל֔⁠וֹ,,"He,R:Sp3ms",,l,False,,,486,1,1,39-MAL
487," \w וּ⁠מָה֙|lemma=""מָה"" strong=""c:H4100"" x-morph=""He,C:Ti""",2,15, וּ⁠מָה֙,,"He,C:Ti",מָה,c:H4100,True,H4100,,487,1,1,39-MAL
488," \w הָֽ⁠אֶחָ֔ד|lemma=""אֶחָד"" strong=""d:H0259"" x-morph=""He,Td:Acmsa""",2,15, הָֽ⁠אֶחָ֔ד,,"He,Td:Acmsa",אֶחָד,d:H0259,True,H0259,,488,1,1,39-MAL
489," \w מְבַקֵּ֖שׁ|lemma=""בָּקַשׁ"" strong=""H1245"" x-morph=""He,Vprmsa"" x-tw=""rc://*/tw/dict/bible/other/seek""",2,15, מְבַקֵּ֖שׁ,,"He,Vprmsa",בָּקַשׁ,H1245,False,H1245,rc://*/tw/dict/bible/other/seek,489,1,1,39-MAL
490," \w זֶ֣רַע|lemma=""זֶרַע"" strong=""H2233"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/seed""",2,15, זֶ֣רַע,,"He,Ncmsc",זֶרַע,H2233,False,H2233,rc://*/tw/dict/bible/other/seed,490,1,1,39-MAL
491," \w אֱלֹהִ֑ים|lemma=""אֱלֹהִים"" strong=""H0430"" x-morph=""He,Ncmpa"" x-tw=""rc://*/tw/dict/bible/kt/god""",2,15, אֱלֹהִ֑ים,,"He,Ncmpa",אֱלֹהִים,H0430,False,H0430,rc://*/tw/dict/bible/kt/god,491,1,1,39-MAL
492," \w וְ⁠נִשְׁמַרְתֶּם֙|lemma=""שָׁמַר"" strong=""c:H8104"" x-morph=""He,C:VNq2mp""",2,15, וְ⁠נִשְׁמַרְתֶּם֙,,"He,C:VNq2mp",שָׁמַר,c:H8104,True,H8104,,492,1,1,39-MAL
493," \w בְּ⁠ר֣וּחֲ⁠כֶ֔ם|lemma=""רוּחַ"" strong=""b:H7307"" x-morph=""He,R:Ncbsc:Sp2mp"" x-tw=""rc://*/tw/dict/bible/kt/spirit""",2,15, בְּ⁠ר֣וּחֲ⁠כֶ֔ם,,"He,R:Ncbsc:Sp2mp",רוּחַ,b:H7307,True,H7307,rc://*/tw/dict/bible/kt/spirit,493,1,1,39-MAL
494," \w וּ⁠בְ⁠אֵ֥שֶׁת|lemma=""אִשָּׁה"" strong=""c:b:H0802"" x-morph=""He,C:R:Ncfsc""",2,15, וּ⁠בְ⁠אֵ֥שֶׁת,,"He,C:R:Ncfsc",אִשָּׁה,c:b:H0802,True,H0802,,494,1,1,39-MAL
495," \w נְעוּרֶ֖י⁠ךָ|lemma=""נָעוּר"" strong=""H5271a"" x-morph=""He,Ncbpc:Sp2ms""",2,15, נְעוּרֶ֖י⁠ךָ,,"He,Ncbpc:Sp2ms",נָעוּר,H5271a,False,H5271a,,495,1,1,39-MAL
496," \w אַל|lemma=""אַל"" strong=""H0408"" x-morph=""He,Tn""",2,15, אַל,,"He,Tn",אַל,H0408,False,H0408,,496,1,1,39-MAL
497,"־\w יִבְגֹּֽד|lemma=""בָּגַד"" strong=""H0898"" x-morph=""He,Vqj3ms""",2,15, יִבְגֹּֽד,־,"He,Vqj3ms",בָּגַד,H0898,False,H0898,,497,1,1,39-MAL
499,"\w כִּֽי|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",2,16, כִּֽי,,"He,C",כִּי,H3588a,False,H3588a,,499,1,1,39-MAL
500,"־\w שָׂנֵ֣א|lemma=""שָׂנֵא"" strong=""H8130"" x-morph=""He,Vqp3ms""",2,16, שָׂנֵ֣א,־,"He,Vqp3ms",שָׂנֵא,H8130,False,H8130,,500,1,1,39-MAL
501," \w שַׁלַּ֗ח|lemma=""שָׁלַח"" strong=""H7971"" x-morph=""He,Vpc""",2,16, שַׁלַּ֗ח,,"He,Vpc",שָׁלַח,H7971,False,H7971,,501,1,1,39-MAL
502," \w אָמַ֤ר|lemma=""אָמַר"" strong=""H0559"" x-morph=""He,Vqp3ms""",2,16, אָמַ֤ר,,"He,Vqp3ms",אָמַר,H0559,False,H0559,,502,1,1,39-MAL
503," \w יְהוָה֙|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",2,16, יְהוָה֙,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,503,1,1,39-MAL
504," \w אֱלֹהֵ֣י|lemma=""אֱלֹהִים"" strong=""H0430"" x-morph=""He,Ncmpc"" x-tw=""rc://*/tw/dict/bible/kt/god""",2,16, אֱלֹהֵ֣י,,"He,Ncmpc",אֱלֹהִים,H0430,False,H0430,rc://*/tw/dict/bible/kt/god,504,1,1,39-MAL
505," \w יִשְׂרָאֵ֔ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",2,16, יִשְׂרָאֵ֔ל,,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,505,1,1,39-MAL
506," \w וְ⁠כִסָּ֤ה|lemma=""כָּסָה"" strong=""c:H3680"" x-morph=""He,C:Vpq3ms""",2,16, וְ⁠כִסָּ֤ה,,"He,C:Vpq3ms",כָּסָה,c:H3680,True,H3680,,506,1,1,39-MAL
507," \w חָמָס֙|lemma=""חָמָס"" strong=""H2555"" x-morph=""He,Ncmsa""",2,16, חָמָס֙,,"He,Ncmsa",חָמָס,H2555,False,H2555,,507,1,1,39-MAL
508," \w עַל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",2,16, עַל,,"He,R",עַל,H5921a,False,H5921a,,508,1,1,39-MAL
509,"־\w לְבוּשׁ֔⁠וֹ|lemma=""לְבוּשׁ"" strong=""H3830"" x-morph=""He,Ncmsc:Sp3ms"" x-tw=""rc://*/tw/dict/bible/other/robe""",2,16, לְבוּשׁ֔⁠וֹ,־,"He,Ncmsc:Sp3ms",לְבוּשׁ,H3830,False,H3830,rc://*/tw/dict/bible/other/robe,509,1,1,39-MAL
510," \w אָמַ֖ר|lemma=""אָמַר"" strong=""H0559"" x-morph=""He,Vqp3ms""",2,16, אָמַ֖ר,,"He,Vqp3ms",אָמַר,H0559,False,H0559,,510,1,1,39-MAL
511," \w יְהוָ֣ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",2,16, יְהוָ֣ה,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,511,1,1,39-MAL
512," \w צְבָא֑וֹת|lemma=""צָבָא"" strong=""H6635b"" x-morph=""He,Ncbpa""",2,16, צְבָא֑וֹת,,"He,Ncbpa",צָבָא,H6635b,False,H6635,,512,1,1,39-MAL
513," \w וְ⁠נִשְׁמַרְתֶּ֥ם|lemma=""שָׁמַר"" strong=""c:H8104"" x-morph=""He,C:VNq2mp""",2,16, וְ⁠נִשְׁמַרְתֶּ֥ם,,"He,C:VNq2mp",שָׁמַר,c:H8104,True,H8104,,513,1,1,39-MAL
514," \w בְּ⁠רוּחֲ⁠כֶ֖ם|lemma=""רוּחַ"" strong=""b:H7307"" x-morph=""He,R:Ncbsc:Sp2mp"" x-tw=""rc://*/tw/dict/bible/kt/spirit""",2,16, בְּ⁠רוּחֲ⁠כֶ֖ם,,"He,R:Ncbsc:Sp2mp",רוּחַ,b:H7307,True,H7307,rc://*/tw/dict/bible/kt/spirit,514,1,1,39-MAL
515," \w וְ⁠לֹ֥א|lemma=""לֹא"" strong=""c:H3808"" x-morph=""He,C:Tn""",2,16, וְ⁠לֹ֥א,,"He,C:Tn",לֹא,c:H3808,True,H3808,,515,1,1,39-MAL
516," \w תִבְגֹּֽדוּ|lemma=""בָּגַד"" strong=""H0898"" x-morph=""He,Vqi2mp""",2,16, תִבְגֹּֽדוּ,,"He,Vqi2mp",בָּגַד,H0898,False,H0898,,516,1,1,39-MAL
518,"\w הוֹגַעְתֶּ֤ם|lemma=""יָגַע"" strong=""H3021"" x-morph=""He,Vhp2mp""",2,17, הוֹגַעְתֶּ֤ם,,"He,Vhp2mp",יָגַע,H3021,False,H3021,,518,1,1,39-MAL
519," \w יְהוָה֙|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",2,17, יְהוָה֙,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,519,1,1,39-MAL
520," \w בְּ⁠דִבְרֵי⁠כֶ֔ם|lemma=""דָּבָר"" strong=""b:H1697"" x-morph=""He,R:Ncmpc:Sp2mp""",2,17, בְּ⁠דִבְרֵי⁠כֶ֔ם,,"He,R:Ncmpc:Sp2mp",דָּבָר,b:H1697,True,H1697,,520,1,1,39-MAL
521," \w וַ⁠אֲמַרְתֶּ֖ם|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqq2mp""",2,17, וַ⁠אֲמַרְתֶּ֖ם,,"He,C:Vqq2mp",אָמַר,c:H0559,True,H0559,,521,1,1,39-MAL
522," \w בַּ⁠מָּ֣ה|lemma=""מָה"" strong=""b:H4100"" x-morph=""He,R:Ti""",2,17, בַּ⁠מָּ֣ה,,"He,R:Ti",מָה,b:H4100,True,H4100,,522,1,1,39-MAL
523," \w הוֹגָ֑עְנוּ|lemma=""יָגַע"" strong=""H3021"" x-morph=""He,Vhp1cp""",2,17, הוֹגָ֑עְנוּ,,"He,Vhp1cp",יָגַע,H3021,False,H3021,,523,1,1,39-MAL
524," \w בֶּ⁠אֱמָרְ⁠כֶ֗ם|lemma=""אָמַר"" strong=""b:H0559"" x-morph=""He,R:Vqc:Sp2mp"" x-tw=""rc://*/tw/dict/bible/other/report""",2,17, בֶּ⁠אֱמָרְ⁠כֶ֗ם,,"He,R:Vqc:Sp2mp",אָמַר,b:H0559,True,H0559,rc://*/tw/dict/bible/other/report,524,1,1,39-MAL
525," \w כָּל|lemma=""כֹּל"" strong=""H3605"" x-morph=""He,Ncmsc""",2,17, כָּל,,"He,Ncmsc",כֹּל,H3605,False,H3605,,525,1,1,39-MAL
526,"־\w עֹ֨שֵׂה|lemma=""עָשָׂה"" strong=""H6213a"" x-morph=""He,Vqrmsc""",2,17, עֹ֨שֵׂה,־,"He,Vqrmsc",עָשָׂה,H6213a,False,H6213a,,526,1,1,39-MAL
527," \w רָ֜ע|lemma=""רַע"" strong=""H7451a"" x-morph=""He,Aamsa"" x-tw=""rc://*/tw/dict/bible/kt/evil""",2,17, רָ֜ע,,"He,Aamsa",רַע,H7451a,False,H7451a,rc://*/tw/dict/bible/kt/evil,527,1,1,39-MAL
