index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",1,1, τὸν,,"Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,0,1,1,45-ACT
1," \w μὲν|lemma=""μέν"" strong=""G33030"" x-morph=""Gr,T,,,,,,,,,""",1,1, μὲν,,"Gr,T,,,,,,,,,",μέν,G33030,False,G33030,,1,1,1,45-ACT
2," \w πρῶτον|lemma=""πρῶτος"" strong=""G44130"" x-morph=""Gr,EO,,,,AMS,""",1,1, πρῶτον,,"Gr,EO,,,,AMS,",πρῶτος,G44130,False,G44130,,2,1,1,45-ACT
3," \w λόγον|lemma=""λόγος"" strong=""G30560"" x-morph=""Gr,N,,,,,AMS,""",1,1, λόγον,,"Gr,N,,,,,AMS,",λόγος,G30560,False,G30560,,3,1,1,45-ACT
4," \w ἐποιησάμην|lemma=""ποιέω"" strong=""G41600"" x-morph=""Gr,V,IAM1,,S,""",1,1, ἐποιησάμην,,"Gr,V,IAM1,,S,",ποιέω,G41600,False,G41600,,4,1,1,45-ACT
5," \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,1, περὶ,,"Gr,P,,,,,G,,,",περί,G40120,False,G40120,,5,1,1,45-ACT
6," \w πάντων|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,RI,,,,GNP,""",1,1, πάντων,,"Gr,RI,,,,GNP,",πᾶς,G39560,False,G39560,,6,1,1,45-ACT
7,", \w ὦ|lemma=""ὦ"" strong=""G55990"" x-morph=""Gr,IE,,,,,,,,""",1,1, ὦ,", ","Gr,IE,,,,,,,,",ὦ,G55990,False,G55990,,7,1,1,45-ACT
8," \w Θεόφιλε|lemma=""Θεόφιλος"" strong=""G23210"" x-morph=""Gr,N,,,,,VMS,""",1,1, Θεόφιλε,,"Gr,N,,,,,VMS,",Θεόφιλος,G23210,False,G23210,,8,1,1,45-ACT
9,", \w ὧν|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,GNP,""",1,1, ὧν,", ","Gr,RR,,,,GNP,",ὅς,G37390,False,G37390,,9,1,1,45-ACT
10," \w ἤρξατο|lemma=""ἄρχω"" strong=""G07570"" x-morph=""Gr,V,IAM3,,S,""",1,1, ἤρξατο,,"Gr,V,IAM3,,S,",ἄρχω,G07570,False,G07570,,10,1,1,45-ACT
11," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,1, ὁ,,"Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,11,1,1,45-ACT
12," \w Ἰησοῦς|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦς,,"Gr,N,,,,,NMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,12,1,1,45-ACT
