index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
19,", \w σὺν|lemma=""σύν"" strong=""G48620"" x-morph=""Gr,P,,,,,D,,,""",1,1, σὺν,", ","Gr,P,,,,,D,,,",σύν,G48620,False,G48620,,19,1,1,48-2CO
20," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,1, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,20,2,1,48-2CO
21," \w ἁγίοις|lemma=""ἅγιος"" strong=""G00400"" x-morph=""Gr,NS,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/saint""",1,1, ἁγίοις,,"Gr,NS,,,,DMP,",ἅγιος,G00400,False,G00400,rc://*/tw/dict/bible/kt/saint,21,1,1,48-2CO
22," \w πᾶσιν|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,DMP,""",1,1, πᾶσιν,,"Gr,EQ,,,,DMP,",πᾶς,G39560,False,G39560,,22,1,1,48-2CO
23," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,DMP,""",1,1, τοῖς,,"Gr,RD,,,,DMP,",ὁ,G35880,False,G35880,,23,2,2,48-2CO
24," \w οὖσιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,PPA,DMP,""",1,1, οὖσιν,,"Gr,V,PPA,DMP,",εἰμί,G15100,False,G15100,,24,1,1,48-2CO
25," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,1, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,25,2,2,48-2CO
26," \w ὅλῃ|lemma=""ὅλος"" strong=""G36500"" x-morph=""Gr,EQ,,,,DFS,""",1,1, ὅλῃ,,"Gr,EQ,,,,DFS,",ὅλος,G36500,False,G36500,,26,1,1,48-2CO
27," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",1,1, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,27,3,3,48-2CO
28," \w Ἀχαΐᾳ|lemma=""Ἀχαΐα"" strong=""G08820"" x-morph=""Gr,N,,,,,DFS,""",1,1, Ἀχαΐᾳ,,"Gr,N,,,,,DFS,",Ἀχαΐα,G08820,False,G08820,,28,1,1,48-2CO
30,"\w χάρις|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,2, χάρις,,"Gr,N,,,,,NFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,30,1,1,48-2CO
31," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,2, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,31,1,1,48-2CO
32," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,32,2,1,48-2CO
33," \w εἰρήνη|lemma=""εἰρήνη"" strong=""G15150"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/peace""",1,2, εἰρήνη,,"Gr,N,,,,,NFS,",εἰρήνη,G15150,False,G15150,rc://*/tw/dict/bible/other/peace,33,1,1,48-2CO
34,", \w ἀπὸ|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,2, ἀπὸ,", ","Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,34,1,1,48-2CO
