index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַֽ⁠יְהִי֙|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַֽ⁠יְהִי֙,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,0,1,1,32-JON
1," \k-s | x-tw=""rc://*/tw/dict/bible/kt/wordofgod""\*\w דְּבַר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsc""",1,1, ,"\k-s | x-tw=""rc://*/tw/dict/bible/kt/wordofgod""\*","He,Ncmsc",דָּבָר,H1697,False,H1697,rc://*/tw/dict/bible/kt/wordofgod,1,1,1,32-JON
2,"־\w יְהוָ֔ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np""",1,1, יְהוָ֔ה,־,"He,Np",יְהֹוָה,H3068,False,H3068,,2,1,1,32-JON
3," \k-e\* \w אֶל|lemma=""אֵל"" strong=""H0413"" x-morph=""He,R""",1,1, אֶל,\k-e\* ,"He,R",אֵל,H0413,False,H0413,,3,1,1,32-JON
4,"־\w יוֹנָ֥ה|lemma=""יוֹנָה"" strong=""H3124"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/jonah""",1,1, יוֹנָ֥ה,־,"He,Np",יוֹנָה,H3124,False,H3124,rc://*/tw/dict/bible/names/jonah,4,1,1,32-JON
5," \w בֶן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,5,1,1,32-JON
6,"־\w אֲמִתַּ֖י|lemma=""אֲמִתַּי"" strong=""H0573"" x-morph=""He,Np""",1,1, אֲמִתַּ֖י,־,"He,Np",אֲמִתַּי,H0573,False,H0573,,6,1,1,32-JON
7," \w לֵ⁠אמֹֽר|lemma=""אָמַר"" strong=""l:H0559"" x-morph=""He,R:Vqc""",1,1, לֵ⁠אמֹֽר,,"He,R:Vqc",אָמַר,l:H0559,True,H0559,,7,1,1,32-JON
9,"\w ק֠וּם|lemma=""קוּם"" strong=""H6965b"" x-morph=""He,Vqv2ms""",1,2, ק֠וּם,,"He,Vqv2ms",קוּם,H6965b,False,H6965,,9,1,1,32-JON
10," \w לֵ֧ךְ|lemma=""יָלַךְ"" strong=""H3212"" x-morph=""He,Vqv2ms""",1,2, לֵ֧ךְ,,"He,Vqv2ms",יָלַךְ,H3212,False,H3212,,10,1,1,32-JON
