index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַ⁠יְהִ֗י|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יְהִ֗י,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,0,1,1,10-2SA
1," \w אַֽחֲרֵי֙|lemma=""אַחַר"" strong=""H0310a"" x-morph=""He,R""",1,1, אַֽחֲרֵי֙,,"He,R",אַחַר,H0310a,False,H0310a,,1,1,1,10-2SA
2," \w מ֣וֹת|lemma=""מָוֶת"" strong=""H4194"" x-morph=""He,Ncmsc""",1,1, מ֣וֹת,,"He,Ncmsc",מָוֶת,H4194,False,H4194,,2,1,1,10-2SA
3," \w שָׁא֔וּל|lemma=""שָׁאוּל"" strong=""H7586"" x-morph=""He,Np""",1,1, שָׁא֔וּל,,"He,Np",שָׁאוּל,H7586,False,H7586,,3,1,1,10-2SA
4," \w וְ⁠דָוִ֣ד|lemma=""דָּוִד"" strong=""c:H1732"" x-morph=""He,C:Np""",1,1, וְ⁠דָוִ֣ד,,"He,C:Np",דָּוִד,c:H1732,True,H1732,,4,1,1,10-2SA
5," \w שָׁ֔ב|lemma=""שׁוּב"" strong=""H7725"" x-morph=""He,Vqp3ms"" x-tw=""rc://*/tw/dict/bible/kt/restore""",1,1, שָׁ֔ב,,"He,Vqp3ms",שׁוּב,H7725,False,H7725,rc://*/tw/dict/bible/kt/restore,5,1,1,10-2SA
6," \w מֵ⁠הַכּ֖וֹת|lemma=""נָכָה"" strong=""m:H5221"" x-morph=""He,R:Vhc""",1,1, מֵ⁠הַכּ֖וֹת,,"He,R:Vhc",נָכָה,m:H5221,True,H5221,,6,1,1,10-2SA
7," \w אֶת|lemma=""אֵת"" strong=""H0853"" x-morph=""He,To""",1,1, אֶת,,"He,To",אֵת,H0853,False,H0853,,7,1,1,10-2SA
8,"־\w הָ⁠עֲמָלֵ֑ק|lemma=""עֲמָלֵק"" strong=""d:H6002"" x-morph=""He,Td:Np""",1,1, הָ⁠עֲמָלֵ֑ק,־,"He,Td:Np",עֲמָלֵק,d:H6002,True,H6002,,8,1,1,10-2SA
9," \w וַ⁠יֵּ֧שֶׁב|lemma=""יָשַׁב"" strong=""c:H3427"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יֵּ֧שֶׁב,,"He,C:Vqw3ms",יָשַׁב,c:H3427,True,H3427,,9,1,1,10-2SA
10," \w דָּוִ֛ד|lemma=""דָּוִד"" strong=""H1732"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/david""",1,1, דָּוִ֛ד,,"He,Np",דָּוִד,H1732,False,H1732,rc://*/tw/dict/bible/names/david,10,1,1,10-2SA
11," \w בְּ⁠צִקְלָ֖ג|lemma=""צִקְלַג"" strong=""b:H6860"" x-morph=""He,R:Np""",1,1, בְּ⁠צִקְלָ֖ג,,"He,R:Np",צִקְלַג,b:H6860,True,H6860,,11,1,1,10-2SA
12," \w יָמִ֥ים|lemma=""יוֹם"" strong=""H3117"" x-morph=""He,Ncmpa""",1,1, יָמִ֥ים,,"He,Ncmpa",יוֹם,H3117,False,H3117,,12,1,1,10-2SA
13," \w שְׁנָֽיִם|lemma=""שְׁנַיִם"" strong=""H8147"" x-morph=""He,Acmda""",1,1, שְׁנָֽיִם,,"He,Acmda",שְׁנַיִם,H8147,False,H8147,,13,1,1,10-2SA
