index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Ἰάκωβος|lemma=""Ἰάκωβος"" strong=""G23850"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/jamesbrotherofjesus""",1,1, Ἰάκωβος,,"Gr,N,,,,,NMS,",Ἰάκωβος,G23850,False,G23850,rc://*/tw/dict/bible/names/jamesbrotherofjesus,0,1,1,60-JAS
1,", \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεοῦ,", ","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,1,1,1,60-JAS
2," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,2,1,1,60-JAS
3," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,1, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,3,1,1,60-JAS
4," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,4,1,1,60-JAS
5," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,5,1,1,60-JAS
6,", \w δοῦλος|lemma=""δοῦλος"" strong=""G14010"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/other/servant""",1,1, δοῦλος,", ","Gr,N,,,,,NMS,",δοῦλος,G14010,False,G14010,rc://*/tw/dict/bible/other/servant,6,1,1,60-JAS
7,"; \w ταῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFP,""",1,1, ταῖς,; ,"Gr,EA,,,,DFP,",ὁ,G35880,False,G35880,,7,2,1,60-JAS
8," \k-s |x-tw=""rc://*/tw/dict/bible/other/12tribesofisrael""\*\w δώδεκα|lemma=""δώδεκα"" strong=""G14270"" x-morph=""Gr,EN,,,,DFPI""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/other/12tribesofisrael""\*","Gr,EN,,,,DFPI",δώδεκα,G14270,False,G14270,rc://*/tw/dict/bible/other/12tribesofisrael,8,1,1,60-JAS
9," \w φυλαῖς|lemma=""φυλή"" strong=""G54430"" x-morph=""Gr,N,,,,,DFP,"" x-tw=""rc://*/tw/dict/bible/other/tribe""",1,1, φυλαῖς,,"Gr,N,,,,,DFP,",φυλή,G54430,False,G54430,rc://*/tw/dict/bible/other/tribe,9,1,1,60-JAS
