index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,56-2TI
1,", \w ἀπόστολος|lemma=""ἀπόστολος"" strong=""G06520"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/apostle""",1,1, ἀπόστολος,", ","Gr,N,,,,,NMS,",ἀπόστολος,G06520,False,G06520,rc://*/tw/dict/bible/kt/apostle,1,1,1,56-2TI
2," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,2,1,1,56-2TI
3," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,3,2,1,56-2TI
4,", \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,1, διὰ,", ","Gr,P,,,,,G,,,",διά,G12230,False,G12230,,4,1,1,56-2TI
5," \k-s |x-tw=""rc://*/tw/dict/bible/kt/willofgod""\*\w θελήματος|lemma=""θέλημα"" strong=""G23070"" x-morph=""Gr,N,,,,,GNS,""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/willofgod""\*","Gr,N,,,,,GNS,",θέλημα,G23070,False,G23070,rc://*/tw/dict/bible/kt/willofgod,5,2,1,56-2TI
6," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,6,1,1,56-2TI
7,", \k-e\* \w κατ’|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,1, κατ’,", \k-e\* ","Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,7,1,1,56-2TI
8," \w ἐπαγγελίαν|lemma=""ἐπαγγελία"" strong=""G18600"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/promise""",1,1, ἐπαγγελίαν,,"Gr,N,,,,,AFS,",ἐπαγγελία,G18600,False,G18600,rc://*/tw/dict/bible/kt/promise,8,1,1,56-2TI
9," \w ζωῆς|lemma=""ζωή"" strong=""G22220"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/life""",1,1, ζωῆς,,"Gr,N,,,,,GFS,",ζωή,G22220,False,G22220,rc://*/tw/dict/bible/kt/life,9,1,1,56-2TI
10," \w τῆς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,GFS,""",1,1, τῆς,,"Gr,RD,,,,GFS,",ὁ,G35880,False,G35880,,10,1,1,56-2TI
11," \k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*\w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*","Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,rc://*/tw/dict/bible/kt/inchrist,11,2,2,56-2TI
12," \w Χριστῷ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστῷ,,"Gr,N,,,,,DMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,12,1,1,56-2TI
13," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,DMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,13,2,2,56-2TI
15,"\w Τιμοθέῳ|lemma=""Τιμόθεος"" strong=""G50950"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/names/timothy""",1,2, Τιμοθέῳ,,"Gr,N,,,,,DMS,",Τιμόθεος,G50950,False,G50950,rc://*/tw/dict/bible/names/timothy,15,1,1,56-2TI
16," \w ἀγαπητῷ|lemma=""ἀγαπητός"" strong=""G00270"" x-morph=""Gr,AA,,,,DNS,"" x-tw=""rc://*/tw/dict/bible/kt/beloved""",1,2, ἀγαπητῷ,,"Gr,AA,,,,DNS,",ἀγαπητός,G00270,False,G00270,rc://*/tw/dict/bible/kt/beloved,16,1,1,56-2TI
17," \w τέκνῳ|lemma=""τέκνον"" strong=""G50430"" x-morph=""Gr,N,,,,,DNS,"" x-tw=""rc://*/tw/dict/bible/kt/children""",1,2, τέκνῳ,,"Gr,N,,,,,DNS,",τέκνον,G50430,False,G50430,rc://*/tw/dict/bible/kt/children,17,1,1,56-2TI
18,": \w χάρις|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,2, χάρις,: ,"Gr,N,,,,,NFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,18,1,1,56-2TI
