index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w אֵיכָ֣ה|lemma=""אֵיךְ"" strong=""H0349b"" x-morph=""He,Ti""",1,1, אֵיכָ֣ה,,"He,Ti",אֵיךְ,H0349b,False,H0349,,0,1,1,25-LAM
1," ׀ \w יָשְׁבָ֣ה|lemma=""יָשַׁב"" strong=""H3427"" x-morph=""He,Vqp3fs""",1,1, יָשְׁבָ֣ה,׀ ,"He,Vqp3fs",יָשַׁב,H3427,False,H3427,,1,1,1,25-LAM
2," \w בָדָ֗ד|lemma=""בָּדָד"" strong=""H0910"" x-morph=""He,Ncmsa""",1,1, בָדָ֗ד,,"He,Ncmsa",בָּדָד,H0910,False,H0910,,2,1,1,25-LAM
3," \w הָ⁠עִיר֙|lemma=""עִיר"" strong=""d:H5892b"" x-morph=""He,Td:Ncfsa""",1,1, הָ⁠עִיר֙,,"He,Td:Ncfsa",עִיר,d:H5892b,True,H5892,,3,1,1,25-LAM
4," \w רַבָּ֣תִי|lemma=""רַב"" strong=""H7227a"" x-morph=""He,Aafsc""",1,1, רַבָּ֣תִי,,"He,Aafsc",רַב,H7227a,False,H7227a,,4,1,1,25-LAM
5," \w עָ֔ם|lemma=""עַם"" strong=""H5971a"" x-morph=""He,Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/peoplegroup""",1,1, עָ֔ם,,"He,Ncmsa",עַם,H5971a,False,H5971a,rc://*/tw/dict/bible/other/peoplegroup,5,1,1,25-LAM
6," \w הָיְתָ֖ה|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3fs""",1,1, הָיְתָ֖ה,,"He,Vqp3fs",הָיָה,H1961,False,H1961,,6,2,1,25-LAM
7," \w כְּ⁠אַלְמָנָ֑ה|lemma=""אַלְמָנָה"" strong=""k:H0490"" x-morph=""He,R:Ncfsa""",1,1, כְּ⁠אַלְמָנָ֑ה,,"He,R:Ncfsa",אַלְמָנָה,k:H0490,True,H0490,,7,1,1,25-LAM
8," \w רַּבָּ֣תִי|lemma=""רַב"" strong=""H7227a"" x-morph=""He,Aafsc""",1,1, רַּבָּ֣תִי,,"He,Aafsc",רַב,H7227a,False,H7227a,,8,1,1,25-LAM
9," \w בַ⁠גּוֹיִ֗ם|lemma=""גּוֹי"" strong=""b:H1471a"" x-morph=""He,Rd:Ncmpa"" x-tw=""rc://*/tw/dict/bible/other/nation""",1,1, בַ⁠גּוֹיִ֗ם,,"He,Rd:Ncmpa",גּוֹי,b:H1471a,True,H1471a,rc://*/tw/dict/bible/other/nation,9,1,1,25-LAM
