index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w חֲז֖וֹן|lemma=""חָזוֹן"" strong=""H2377"" x-morph=""He,Ncmsc""",1,1, חֲז֖וֹן,,"He,Ncmsc",חָזוֹן,H2377,False,H2377,,0,1,1,31-OBA
1," \w עֹֽבַדְיָ֑ה|lemma=""עֹבַדְיָה"" strong=""H5662"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/obadiah""",1,1, עֹֽבַדְיָ֑ה,,"He,Np",עֹבַדְיָה,H5662,False,H5662,rc://*/tw/dict/bible/names/obadiah,1,1,1,31-OBA
2," \w כֹּֽה|lemma=""כֹּה"" strong=""H3541"" x-morph=""He,D""",1,1, כֹּֽה,,"He,D",כֹּה,H3541,False,H3541,,2,1,1,31-OBA
3,"־\w אָמַר֩|lemma=""אָמַר"" strong=""H0559"" x-morph=""He,Vqp3ms""",1,1, אָמַר֩,־,"He,Vqp3ms",אָמַר,H0559,False,H0559,,3,1,1,31-OBA
4," \w אֲדֹנָ֨⁠י|lemma=""אֲדֹנָי"" strong=""H0136"" x-morph=""He,Ncmpc:Sp1cs"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,1, אֲדֹנָ֨⁠י,,"He,Ncmpc:Sp1cs",אֲדֹנָי,H0136,False,H0136,rc://*/tw/dict/bible/kt/lord,4,1,1,31-OBA
5," \w יְהוִ֜ה|lemma=""יְהֹוִה"" strong=""H3069"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוִ֜ה,,"He,Np",יְהֹוִה,H3069,False,H3069,rc://*/tw/dict/bible/kt/yahweh,5,1,1,31-OBA
6," \w לֶ⁠אֱד֗וֹם|lemma=""אֱדֹם"" strong=""l:H0123"" x-morph=""He,R:Np"" x-tw=""rc://*/tw/dict/bible/names/edom""",1,1, לֶ⁠אֱד֗וֹם,,"He,R:Np",אֱדֹם,l:H0123,True,H0123,rc://*/tw/dict/bible/names/edom,6,1,1,31-OBA
7," \w שְׁמוּעָ֨ה|lemma=""שְׁמוּעָה"" strong=""H8052"" x-morph=""He,Ncfsa""",1,1, שְׁמוּעָ֨ה,,"He,Ncfsa",שְׁמוּעָה,H8052,False,H8052,,7,1,1,31-OBA
8," \w שָׁמַ֜עְנוּ|lemma=""שָׁמַע"" strong=""H8085"" x-morph=""He,Vqp1cp""",1,1, שָׁמַ֜עְנוּ,,"He,Vqp1cp",שָׁמַע,H8085,False,H8085,,8,1,1,31-OBA
9," \w מֵ⁠אֵ֤ת|lemma=""אֵת"" strong=""m:H0854"" x-morph=""He,R:R""",1,1, מֵ⁠אֵ֤ת,,"He,R:R",אֵת,m:H0854,True,H0854,,9,1,1,31-OBA
10," \w יְהוָה֙|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, יְהוָה֙,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,10,1,1,31-OBA
11," \w וְ⁠צִיר֙|lemma=""צִיר"" strong=""c:H6735a"" x-morph=""He,C:Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/messenger""",1,1, וְ⁠צִיר֙,,"He,C:Ncmsa",צִיר,c:H6735a,True,H6735a,rc://*/tw/dict/bible/other/messenger,11,1,1,31-OBA
12," \w בַּ⁠גּוֹיִ֣ם|lemma=""גּוֹי"" strong=""b:H1471a"" x-morph=""He,Rd:Ncmpa"" x-tw=""rc://*/tw/dict/bible/other/nation""",1,1, בַּ⁠גּוֹיִ֣ם,,"He,Rd:Ncmpa",גּוֹי,b:H1471a,True,H1471a,rc://*/tw/dict/bible/other/nation,12,1,1,31-OBA
13," \w שֻׁלָּ֔ח|lemma=""שָׁלַח"" strong=""H7971"" x-morph=""He,VPp3ms""",1,1, שֻׁלָּ֔ח,,"He,VPp3ms",שָׁלַח,H7971,False,H7971,,13,1,1,31-OBA
14," \w ק֛וּמוּ|lemma=""קוּם"" strong=""H6965b"" x-morph=""He,Vqv2mp""",1,1, ק֛וּמוּ,,"He,Vqv2mp",קוּם,H6965b,False,H6965,,14,1,1,31-OBA
15," \w וְ⁠נָק֥וּמָה|lemma=""קוּם"" strong=""c:H6965b"" x-morph=""He,C:Vqh1cp""",1,1, וְ⁠נָק֥וּמָה,,"He,C:Vqh1cp",קוּם,c:H6965b,True,H6965,,15,1,1,31-OBA
16," \w עָלֶי⁠הָ|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R:Sp3fs""",1,1, עָלֶי⁠הָ,,"He,R:Sp3fs",עַל,H5921a,False,H5921a,,16,1,1,31-OBA
17," \w לַ⁠מִּלְחָמָֽה|lemma=""מִלְחָמָה"" strong=""l:H4421"" x-morph=""He,Rd:Ncfsa""",1,1, לַ⁠מִּלְחָמָֽה,,"He,Rd:Ncfsa",מִלְחָמָה,l:H4421,True,H4421,,17,1,1,31-OBA
19,"\w הִנֵּ֥ה|lemma=""הִנֵּה"" strong=""H2009"" x-morph=""He,Tm""",1,2, הִנֵּ֥ה,,"He,Tm",הִנֵּה,H2009,False,H2009,,19,1,1,31-OBA
