index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
19," \w τέκνῳ|lemma=""τέκνον"" strong=""G50430"" x-morph=""Gr,N,,,,,DNS,"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,2, τέκνῳ,,"Gr,N,,,,,DNS,",τέκνον,G50430,False,G50430,rc://*/tw/dict/bible/kt/son,19,1,1,55-1TI
20," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,2, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,20,1,1,55-1TI
21," \w πίστει|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",1,2, πίστει,,"Gr,N,,,,,DFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,21,1,1,55-1TI
22,": \w χάρις|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,2, χάρις,: ,"Gr,N,,,,,NFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,22,1,1,55-1TI
23,", \w ἔλεος|lemma=""ἔλεος"" strong=""G16560"" x-morph=""Gr,N,,,,,NNS,"" x-tw=""rc://*/tw/dict/bible/kt/mercy""",1,2, ἔλεος,", ","Gr,N,,,,,NNS,",ἔλεος,G16560,False,G16560,rc://*/tw/dict/bible/kt/mercy,23,1,1,55-1TI
24,", \w εἰρήνη|lemma=""εἰρήνη"" strong=""G15150"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/peace""",1,2, εἰρήνη,", ","Gr,N,,,,,NFS,",εἰρήνη,G15150,False,G15150,rc://*/tw/dict/bible/other/peace,24,1,1,55-1TI
25," \w ἀπὸ|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,2, ἀπὸ,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,25,1,1,55-1TI
26," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,26,1,1,55-1TI
27," \w Πατρὸς|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,""",1,2, Πατρὸς,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,,27,1,1,55-1TI
28," \k-e\* \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,\k-e\* ,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,28,1,1,55-1TI
29," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,2, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,29,1,1,55-1TI
30," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,2, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,30,1,1,55-1TI
31," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,2, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,31,1,1,55-1TI
32," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,2, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,32,1,1,55-1TI
33," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,2, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,33,1,1,55-1TI
35,"\w καθὼς|lemma=""καθώς"" strong=""G25310"" x-morph=""Gr,D,,,,,,,,,"" x-tw=""rc://*/tw/dict/bible/other/like""",1,3, καθὼς,,"Gr,D,,,,,,,,,",καθώς,G25310,False,G25310,rc://*/tw/dict/bible/other/like,35,1,1,55-1TI
36," \w παρεκάλεσά|lemma=""παρακαλέω"" strong=""G38700"" x-morph=""Gr,V,IAA1,,S,"" x-tw=""rc://*/tw/dict/bible/other/plead""",1,3, παρεκάλεσά,,"Gr,V,IAA1,,S,",παρακαλέω,G38700,False,G38700,rc://*/tw/dict/bible/other/plead,36,1,1,55-1TI
37," \w σε|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2A,S,""",1,3, σε,,"Gr,RP,,,2A,S,",σύ,G47710,False,G47710,,37,1,1,55-1TI
38," \w προσμεῖναι|lemma=""προσμένω"" strong=""G43570"" x-morph=""Gr,V,NAA,,,,,""",1,3, προσμεῖναι,,"Gr,V,NAA,,,,,",προσμένω,G43570,False,G43570,,38,1,1,55-1TI
39," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,3, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,39,1,1,55-1TI
40," \w Ἐφέσῳ|lemma=""Ἔφεσος"" strong=""G21810"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/names/ephesus""",1,3, Ἐφέσῳ,,"Gr,N,,,,,DFS,",Ἔφεσος,G21810,False,G21810,rc://*/tw/dict/bible/names/ephesus,40,1,1,55-1TI
41,", \w πορευόμενος|lemma=""πορεύω"" strong=""G41980"" x-morph=""Gr,V,PPM,NMS,""",1,3, πορευόμενος,", ","Gr,V,PPM,NMS,",πορεύω,G41980,False,G41980,,41,1,1,55-1TI
42," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,3, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,42,1,1,55-1TI
43," \w Μακεδονίαν|lemma=""Μακεδονία"" strong=""G31090"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/names/macedonia""",1,3, Μακεδονίαν,,"Gr,N,,,,,AFS,",Μακεδονία,G31090,False,G31090,rc://*/tw/dict/bible/names/macedonia,43,1,1,55-1TI
44,", \w ἵνα|lemma=""ἵνα"" strong=""G24430"" x-morph=""Gr,CS,,,,,,,,""",1,3, ἵνα,", ","Gr,CS,,,,,,,,",ἵνα,G24430,False,G24430,,44,1,1,55-1TI
45," \w παραγγείλῃς|lemma=""παραγγέλλω"" strong=""G38530"" x-morph=""Gr,V,SAA2,,S,"" x-tw=""rc://*/tw/dict/bible/kt/command""",1,3, παραγγείλῃς,,"Gr,V,SAA2,,S,",παραγγέλλω,G38530,False,G38530,rc://*/tw/dict/bible/kt/command,45,1,1,55-1TI
46," \w τισὶν|lemma=""τις"" strong=""G51000"" x-morph=""Gr,RI,,,,DMP,""",1,3, τισὶν,,"Gr,RI,,,,DMP,",τις,G51000,False,G51000,,46,1,1,55-1TI
47," \w μὴ|lemma=""μή"" strong=""G33610"" x-morph=""Gr,DO,,,,,,,,""",1,3, μὴ,,"Gr,DO,,,,,,,,",μή,G33610,False,G33610,,47,1,1,55-1TI
48," \w ἑτεροδιδασκαλεῖν|lemma=""ἑτεροδιδασκαλέω"" strong=""G20850"" x-morph=""Gr,V,NPA,,,,,"" x-tw=""rc://*/tw/dict/bible/other/doctrine""",1,3, ἑτεροδιδασκαλεῖν,,"Gr,V,NPA,,,,,",ἑτεροδιδασκαλέω,G20850,False,G20850,rc://*/tw/dict/bible/other/doctrine,48,1,1,55-1TI
50,"\w μηδὲ|lemma=""μηδέ"" strong=""G33660"" x-morph=""Gr,CO,,,,,,,,""",1,4, μηδὲ,,"Gr,CO,,,,,,,,",μηδέ,G33660,False,G33660,,50,1,1,55-1TI
51," \w προσέχειν|lemma=""προσέχω"" strong=""G43370"" x-morph=""Gr,V,NPA,,,,,""",1,4, προσέχειν,,"Gr,V,NPA,,,,,",προσέχω,G43370,False,G43370,,51,1,1,55-1TI
52," \w μύθοις|lemma=""μῦθος"" strong=""G34540"" x-morph=""Gr,N,,,,,DMP,""",1,4, μύθοις,,"Gr,N,,,,,DMP,",μῦθος,G34540,False,G34540,,52,1,1,55-1TI
53," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,4, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,53,1,1,55-1TI
54," \w γενεαλογίαις|lemma=""γενεαλογία"" strong=""G10760"" x-morph=""Gr,N,,,,,DFP,""",1,4, γενεαλογίαις,,"Gr,N,,,,,DFP,",γενεαλογία,G10760,False,G10760,,54,1,1,55-1TI
55," \w ἀπεράντοις|lemma=""ἀπέραντος"" strong=""G05620"" x-morph=""Gr,AA,,,,DFP,""",1,4, ἀπεράντοις,,"Gr,AA,,,,DFP,",ἀπέραντος,G05620,False,G05620,,55,1,1,55-1TI
56,", \w αἵτινες|lemma=""ὅστις"" strong=""G37480"" x-morph=""Gr,RR,,,,NFP,""",1,4, αἵτινες,", ","Gr,RR,,,,NFP,",ὅστις,G37480,False,G37480,,56,1,1,55-1TI
57," \w ἐκζητήσεις|lemma=""ἐκζήτησις"" strong=""G15675"" x-morph=""Gr,N,,,,,AFP,""",1,4, ἐκζητήσεις,,"Gr,N,,,,,AFP,",ἐκζήτησις,G15675,False,G15675,,57,1,1,55-1TI
