index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
17847," \w חֹרְפִ֣⁠י|lemma=""חָרַף"" strong=""H2778a"" x-morph=""He,Vqrmsc:Sp1cs"" x-tw=""rc://*/tw/dict/bible/other/shame""",119,42, חֹרְפִ֣⁠י,,"He,Vqrmsc:Sp1cs",חָרַף,H2778a,False,H2778a,rc://*/tw/dict/bible/other/shame,17847,1,1,19-PSA
17848," \w דָבָ֑ר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsa""",119,42, דָבָ֑ר,,"He,Ncmsa",דָּבָר,H1697,False,H1697,,17848,1,1,19-PSA
17849," \w כִּֽי|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",119,42, כִּֽי,,"He,C",כִּי,H3588a,False,H3588a,,17849,1,1,19-PSA
17850,"־\w בָ֝טַחְתִּי|lemma=""בָּטַח"" strong=""H0982"" x-morph=""He,Vqp1cs""",119,42, בָ֝טַחְתִּי,־,"He,Vqp1cs",בָּטַח,H0982,False,H0982,,17850,1,1,19-PSA
17851," \w בִּ⁠דְבָרֶֽ⁠ךָ|lemma=""דָּבָר"" strong=""b:H1697"" x-morph=""He,R:Ncmsc:Sp2ms""",119,42, בִּ⁠דְבָרֶֽ⁠ךָ,,"He,R:Ncmsc:Sp2ms",דָּבָר,b:H1697,True,H1697,,17851,1,1,19-PSA
17853,"\w וְֽ⁠אַל|lemma=""אַל"" strong=""c:H0408"" x-morph=""He,C:Tn""",119,43, וְֽ⁠אַל,,"He,C:Tn",אַל,c:H0408,True,H0408,,17853,1,1,19-PSA
17854,"־\w תַּצֵּ֬ל|lemma=""נָצַל"" strong=""H5337"" x-morph=""He,Vhj2ms""",119,43, תַּצֵּ֬ל,־,"He,Vhj2ms",נָצַל,H5337,False,H5337,,17854,1,1,19-PSA
17855," \w מִ⁠פִּ֣⁠י|lemma=""פֶּה"" strong=""m:H6310"" x-morph=""He,R:Ncmsc:Sp1cs""",119,43, מִ⁠פִּ֣⁠י,,"He,R:Ncmsc:Sp1cs",פֶּה,m:H6310,True,H6310,,17855,1,1,19-PSA
17856," \w דְבַר|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmsc""",119,43, דְבַר,,"He,Ncmsc",דָּבָר,H1697,False,H1697,,17856,1,1,19-PSA
17857,"־\w אֱמֶ֣ת|lemma=""אֶמֶת"" strong=""H0571"" x-morph=""He,Ncfsa"" x-tw=""rc://*/tw/dict/bible/kt/faithful""",119,43, אֱמֶ֣ת,־,"He,Ncfsa",אֶמֶת,H0571,False,H0571,rc://*/tw/dict/bible/kt/faithful,17857,1,1,19-PSA
17858," \w עַד|lemma=""עַד"" strong=""H5704"" x-morph=""He,R""",119,43, עַד,,"He,R",עַד,H5704,False,H5704,,17858,1,1,19-PSA
