index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,47-1CO
1,", \w κλητὸς|lemma=""κλητός"" strong=""G28220"" x-morph=""Gr,AA,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/call""",1,1, κλητὸς,", ","Gr,AA,,,,NMS,",κλητός,G28220,False,G28220,rc://*/tw/dict/bible/kt/call,1,1,1,47-1CO
2," \w ἀπόστολος|lemma=""ἀπόστολος"" strong=""G06520"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/apostle""",1,1, ἀπόστολος,,"Gr,N,,,,,NMS,",ἀπόστολος,G06520,False,G06520,rc://*/tw/dict/bible/kt/apostle,2,1,1,47-1CO
3," \k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*\w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*","Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/jesus,3,2,1,47-1CO
4," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,,4,1,1,47-1CO
5," \k-e\* \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,1, διὰ,\k-e\* ,"Gr,P,,,,,G,,,",διά,G12230,False,G12230,,5,1,1,47-1CO
6," \k-s |x-tw=""rc://*/tw/dict/bible/kt/willofgod""\*\w θελήματος|lemma=""θέλημα"" strong=""G23070"" x-morph=""Gr,N,,,,,GNS,""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/willofgod""\*","Gr,N,,,,,GNS,",θέλημα,G23070,False,G23070,rc://*/tw/dict/bible/kt/willofgod,6,2,2,47-1CO
7," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,7,1,1,47-1CO
8,", \k-e\* \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", \k-e\* ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,8,1,1,47-1CO
9," \w Σωσθένης|lemma=""Σωσθένης"" strong=""G49880"" x-morph=""Gr,N,,,,,NMS,""",1,1, Σωσθένης,,"Gr,N,,,,,NMS,",Σωσθένης,G49880,False,G49880,,9,1,1,47-1CO
10,", \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EP,,,,NMS,""",1,1, ὁ,", ","Gr,EP,,,,NMS,",ὁ,G35880,False,G35880,,10,1,1,47-1CO
11," \w ἀδελφὸς|lemma=""ἀδελφός"" strong=""G00800"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/brother""",1,1, ἀδελφὸς,,"Gr,N,,,,,NMS,",ἀδελφός,G00800,False,G00800,rc://*/tw/dict/bible/kt/brother,11,1,1,47-1CO
13,"\w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",1,2, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,13,2,1,47-1CO
14," \w ἐκκλησίᾳ|lemma=""ἐκκλησία"" strong=""G15770"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/church""",1,2, ἐκκλησίᾳ,,"Gr,N,,,,,DFS,",ἐκκλησία,G15770,False,G15770,rc://*/tw/dict/bible/kt/church,14,1,1,47-1CO
15," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,2, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,15,2,1,47-1CO
16," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,2, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,16,1,1,47-1CO
17,", \w ἡγιασμένοις|lemma=""ἁγιάζω"" strong=""G00370"" x-morph=""Gr,V,PEP,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/sanctify""",1,2, ἡγιασμένοις,", ","Gr,V,PEP,DMP,",ἁγιάζω,G00370,False,G00370,rc://*/tw/dict/bible/kt/sanctify,17,1,1,47-1CO
18," \k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*\w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*","Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,rc://*/tw/dict/bible/kt/inchrist,18,1,1,47-1CO
19," \w Χριστῷ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,2, Χριστῷ,,"Gr,N,,,,,DMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,19,1,1,47-1CO
20," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,2, Ἰησοῦ,,"Gr,N,,,,,DMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,20,2,1,47-1CO
21,", \k-e\* \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,DFS,""",1,2, τῇ,", \k-e\* ","Gr,RD,,,,DFS,",ὁ,G35880,False,G35880,,21,2,2,47-1CO
22," \w οὔσῃ|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,PPA,DFS,""",1,2, οὔσῃ,,"Gr,V,PPA,DFS,",εἰμί,G15100,False,G15100,,22,1,1,47-1CO
23," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,2, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,23,2,1,47-1CO
24," \w Κορίνθῳ|lemma=""Κόρινθος"" strong=""G28820"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/names/corinth""",1,2, Κορίνθῳ,,"Gr,N,,,,,DFS,",Κόρινθος,G28820,False,G28820,rc://*/tw/dict/bible/names/corinth,24,1,1,47-1CO
25,", \w κλητοῖς|lemma=""κλητός"" strong=""G28220"" x-morph=""Gr,AA,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/call""",1,2, κλητοῖς,", ","Gr,AA,,,,DMP,",κλητός,G28220,False,G28220,rc://*/tw/dict/bible/kt/call,25,1,1,47-1CO
26," \w ἁγίοις|lemma=""ἅγιος"" strong=""G00400"" x-morph=""Gr,NS,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/holy""",1,2, ἁγίοις,,"Gr,NS,,,,DMP,",ἅγιος,G00400,False,G00400,rc://*/tw/dict/bible/kt/holy,26,1,1,47-1CO
27,", \w σὺν|lemma=""σύν"" strong=""G48620"" x-morph=""Gr,P,,,,,D,,,""",1,2, σὺν,", ","Gr,P,,,,,D,,,",σύν,G48620,False,G48620,,27,1,1,47-1CO
28," \w πᾶσιν|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,RI,,,,DMP,""",1,2, πᾶσιν,,"Gr,RI,,,,DMP,",πᾶς,G39560,False,G39560,,28,1,1,47-1CO
29," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,DMP,""",1,2, τοῖς,,"Gr,RD,,,,DMP,",ὁ,G35880,False,G35880,,29,1,1,47-1CO
