index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w ἐπειδήπερ|lemma=""ἐπειδήπερ"" strong=""G18950"" x-morph=""Gr,CS,,,,,,,,""",1,1, ἐπειδήπερ,,"Gr,CS,,,,,,,,",ἐπειδήπερ,G18950,False,G18950,,0,1,1,43-LUK
1," \w πολλοὶ|lemma=""πολλός"" strong=""G41830"" x-morph=""Gr,RI,,,,NMP,""",1,1, πολλοὶ,,"Gr,RI,,,,NMP,",πολλός,G41830,False,G41830,,1,1,1,43-LUK
2," \w ἐπεχείρησαν|lemma=""ἐπιχειρέω"" strong=""G20210"" x-morph=""Gr,V,IAA3,,P,""",1,1, ἐπεχείρησαν,,"Gr,V,IAA3,,P,",ἐπιχειρέω,G20210,False,G20210,,2,1,1,43-LUK
3," \w ἀνατάξασθαι|lemma=""ἀνατάσσομαι"" strong=""G03920"" x-morph=""Gr,V,NAM,,,,,""",1,1, ἀνατάξασθαι,,"Gr,V,NAM,,,,,",ἀνατάσσομαι,G03920,False,G03920,,3,1,1,43-LUK
4," \w διήγησιν|lemma=""διήγησις"" strong=""G13350"" x-morph=""Gr,N,,,,,AFS,""",1,1, διήγησιν,,"Gr,N,,,,,AFS,",διήγησις,G13350,False,G13350,,4,1,1,43-LUK
5,", \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,1, περὶ,", ","Gr,P,,,,,G,,,",περί,G40120,False,G40120,,5,1,1,43-LUK
6," \w τῶν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GNP,""",1,1, τῶν,,"Gr,EA,,,,GNP,",ὁ,G35880,False,G35880,,6,1,1,43-LUK
7," \w πεπληροφορημένων|lemma=""πληροφορέω"" strong=""G41350"" x-morph=""Gr,V,PEP,GNP,""",1,1, πεπληροφορημένων,,"Gr,V,PEP,GNP,",πληροφορέω,G41350,False,G41350,,7,1,1,43-LUK
8," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,1, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,8,1,1,43-LUK
9," \w ἡμῖν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1D,P,""",1,1, ἡμῖν,,"Gr,RP,,,1D,P,",ἐγώ,G14730,False,G14730,,9,1,1,43-LUK
10," \w πραγμάτων|lemma=""πρᾶγμα"" strong=""G42290"" x-morph=""Gr,N,,,,,GNP,""",1,1, πραγμάτων,,"Gr,N,,,,,GNP,",πρᾶγμα,G42290,False,G42290,,10,1,1,43-LUK
12,"\w καθὼς|lemma=""καθώς"" strong=""G25310"" x-morph=""Gr,D,,,,,,,,,"" x-tw=""rc://*/tw/dict/bible/other/like""",1,2, καθὼς,,"Gr,D,,,,,,,,,",καθώς,G25310,False,G25310,rc://*/tw/dict/bible/other/like,12,1,1,43-LUK
13," \w παρέδοσαν|lemma=""παραδίδωμι"" strong=""G38600"" x-morph=""Gr,V,IAA3,,P,""",1,2, παρέδοσαν,,"Gr,V,IAA3,,P,",παραδίδωμι,G38600,False,G38600,,13,1,1,43-LUK
14," \w ἡμῖν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1D,P,""",1,2, ἡμῖν,,"Gr,RP,,,1D,P,",ἐγώ,G14730,False,G14730,,14,1,1,43-LUK
15," \w οἱ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,NMP,""",1,2, οἱ,,"Gr,RD,,,,NMP,",ὁ,G35880,False,G35880,,15,1,1,43-LUK
16," \w ἀπ’|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,2, ἀπ’,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,16,1,1,43-LUK
17," \w ἀρχῆς|lemma=""ἀρχή"" strong=""G07460"" x-morph=""Gr,N,,,,,GFS,""",1,2, ἀρχῆς,,"Gr,N,,,,,GFS,",ἀρχή,G07460,False,G07460,,17,1,1,43-LUK
18,", \w αὐτόπται|lemma=""αὐτόπτης"" strong=""G08450"" x-morph=""Gr,N,,,,,NMP,"" x-tw=""rc://*/tw/dict/bible/kt/testimony""",1,2, αὐτόπται,", ","Gr,N,,,,,NMP,",αὐτόπτης,G08450,False,G08450,rc://*/tw/dict/bible/kt/testimony,18,1,1,43-LUK
19," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,19,1,1,43-LUK
20," \w ὑπηρέται|lemma=""ὑπηρέτης"" strong=""G52570"" x-morph=""Gr,N,,,,,NMP,"" x-tw=""rc://*/tw/dict/bible/other/servant""",1,2, ὑπηρέται,,"Gr,N,,,,,NMP,",ὑπηρέτης,G52570,False,G52570,rc://*/tw/dict/bible/other/servant,20,1,1,43-LUK
21," \w γενόμενοι|lemma=""γίνομαι"" strong=""G10960"" x-morph=""Gr,V,PAM,NMP,""",1,2, γενόμενοι,,"Gr,V,PAM,NMP,",γίνομαι,G10960,False,G10960,,21,1,1,43-LUK
22," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,2, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,22,1,1,43-LUK
23," \w λόγου|lemma=""λόγος"" strong=""G30560"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/wordofgod""",1,2, λόγου,,"Gr,N,,,,,GMS,",λόγος,G30560,False,G30560,rc://*/tw/dict/bible/kt/wordofgod,23,1,1,43-LUK
25,"\w ἔδοξε|lemma=""δοκέω"" strong=""G13800"" x-morph=""Gr,V,IAA3,,S,"" x-tw=""rc://*/tw/dict/bible/kt/good""",1,3, ἔδοξε,,"Gr,V,IAA3,,S,",δοκέω,G13800,False,G13800,rc://*/tw/dict/bible/kt/good,25,1,1,43-LUK
