index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
19," \w ἐλπίδι|lemma=""ἐλπίς"" strong=""G16800"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/hope""",1,2, ἐλπίδι,,"Gr,N,,,,,DFS,",ἐλπίς,G16800,False,G16800,rc://*/tw/dict/bible/kt/hope,19,1,1,57-TIT
20," \w ζωῆς|lemma=""ζωή"" strong=""G22220"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/life""",1,2, ζωῆς,,"Gr,N,,,,,GFS,",ζωή,G22220,False,G22220,rc://*/tw/dict/bible/kt/life,20,1,1,57-TIT
21," \w αἰωνίου|lemma=""αἰώνιος"" strong=""G01660"" x-morph=""Gr,AA,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/kt/eternity""",1,2, αἰωνίου,,"Gr,AA,,,,GFS,",αἰώνιος,G01660,False,G01660,rc://*/tw/dict/bible/kt/eternity,21,1,1,57-TIT
22,", \w ἣν|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,AFS,""",1,2, ἣν,", ","Gr,RR,,,,AFS,",ὅς,G37390,False,G37390,,22,1,1,57-TIT
23," \w ἐπηγγείλατο|lemma=""ἐπαγγέλλω"" strong=""G18610"" x-morph=""Gr,V,IAM3,,S,"" x-tw=""rc://*/tw/dict/bible/kt/promise""",1,2, ἐπηγγείλατο,,"Gr,V,IAM3,,S,",ἐπαγγέλλω,G18610,False,G18610,rc://*/tw/dict/bible/kt/promise,23,1,1,57-TIT
24," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,2, ὁ,,"Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,24,1,1,57-TIT
25," \w ἀψευδὴς|lemma=""ἀψευδής"" strong=""G08930"" x-morph=""Gr,AA,,,,NMS,""",1,2, ἀψευδὴς,,"Gr,AA,,,,NMS,",ἀψευδής,G08930,False,G08930,,25,1,1,57-TIT
26," \w Θεὸς|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,2, Θεὸς,,"Gr,N,,,,,NMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,26,1,1,57-TIT
27," \w πρὸ|lemma=""πρό"" strong=""G42530"" x-morph=""Gr,P,,,,,G,,,""",1,2, πρὸ,,"Gr,P,,,,,G,,,",πρό,G42530,False,G42530,,27,1,1,57-TIT
28," \w χρόνων|lemma=""χρόνος"" strong=""G55500"" x-morph=""Gr,N,,,,,GMP,"" x-tw=""rc://*/tw/dict/bible/other/time""",1,2, χρόνων,,"Gr,N,,,,,GMP,",χρόνος,G55500,False,G55500,rc://*/tw/dict/bible/other/time,28,1,1,57-TIT
29," \w αἰωνίων|lemma=""αἰώνιος"" strong=""G01660"" x-morph=""Gr,AA,,,,GMP,""",1,2, αἰωνίων,,"Gr,AA,,,,GMP,",αἰώνιος,G01660,False,G01660,,29,1,1,57-TIT
31,"\w ἐφανέρωσεν|lemma=""φανερόω"" strong=""G53190"" x-morph=""Gr,V,IAA3,,S,"" x-tw=""rc://*/tw/dict/bible/kt/reveal""",1,3, ἐφανέρωσεν,,"Gr,V,IAA3,,S,",φανερόω,G53190,False,G53190,rc://*/tw/dict/bible/kt/reveal,31,1,1,57-TIT
32," \w δὲ|lemma=""δέ"" strong=""G11610"" x-morph=""Gr,CC,,,,,,,,""",1,3, δὲ,,"Gr,CC,,,,,,,,",δέ,G11610,False,G11610,,32,1,1,57-TIT
33," \w καιροῖς|lemma=""καιρός"" strong=""G25400"" x-morph=""Gr,N,,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/other/time""",1,3, καιροῖς,,"Gr,N,,,,,DMP,",καιρός,G25400,False,G25400,rc://*/tw/dict/bible/other/time,33,1,1,57-TIT
34," \w ἰδίοις|lemma=""ἴδιος"" strong=""G23980"" x-morph=""Gr,EF,,,,DMP,""",1,3, ἰδίοις,,"Gr,EF,,,,DMP,",ἴδιος,G23980,False,G23980,,34,1,1,57-TIT
35," \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",1,3, τὸν,,"Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,35,1,1,57-TIT
36," \w λόγον|lemma=""λόγος"" strong=""G30560"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/wordofgod""",1,3, λόγον,,"Gr,N,,,,,AMS,",λόγος,G30560,False,G30560,rc://*/tw/dict/bible/kt/wordofgod,36,1,1,57-TIT
37," \w αὐτοῦ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3GMS,""",1,3, αὐτοῦ,,"Gr,RP,,,3GMS,",αὐτός,G08460,False,G08460,,37,1,1,57-TIT
38," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,3, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,38,1,1,57-TIT
39," \w κηρύγματι|lemma=""κήρυγμα"" strong=""G27820"" x-morph=""Gr,N,,,,,DNS,"" x-tw=""rc://*/tw/dict/bible/other/preach""",1,3, κηρύγματι,,"Gr,N,,,,,DNS,",κήρυγμα,G27820,False,G27820,rc://*/tw/dict/bible/other/preach,39,1,1,57-TIT
40,", \w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANS,""",1,3, ὃ,", ","Gr,RR,,,,ANS,",ὅς,G37390,False,G37390,,40,1,1,57-TIT
