index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַ⁠יְהִ֗י|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יְהִ֗י,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,0,1,1,08-RUT
1," \w בִּ⁠ימֵי֙|lemma=""יוֹם"" strong=""b:H3117"" x-morph=""He,R:Ncmpc""",1,1, בִּ⁠ימֵי֙,,"He,R:Ncmpc",יוֹם,b:H3117,True,H3117,,1,1,1,08-RUT
2," \w שְׁפֹ֣ט|lemma=""שָׁפַט"" strong=""H8199"" x-morph=""He,Vqc""",1,1, שְׁפֹ֣ט,,"He,Vqc",שָׁפַט,H8199,False,H8199,,2,1,1,08-RUT
3," \w הַ⁠שֹּׁפְטִ֔ים|lemma=""שָׁפַט"" strong=""d:H8199"" x-morph=""He,Td:Vqrmpa"" x-tw=""rc://*/tw/dict/bible/kt/judge""",1,1, הַ⁠שֹּׁפְטִ֔ים,,"He,Td:Vqrmpa",שָׁפַט,d:H8199,True,H8199,rc://*/tw/dict/bible/kt/judge,3,1,1,08-RUT
4," \w וַ⁠יְהִ֥י|lemma=""הָיָה"" strong=""c:H1961"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יְהִ֥י,,"He,C:Vqw3ms",הָיָה,c:H1961,True,H1961,,4,1,1,08-RUT
5," \w רָעָ֖ב|lemma=""רָעָב"" strong=""H7458"" x-morph=""He,Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/famine""",1,1, רָעָ֖ב,,"He,Ncmsa",רָעָב,H7458,False,H7458,rc://*/tw/dict/bible/other/famine,5,1,1,08-RUT
6," \w בָּ⁠אָ֑רֶץ|lemma=""אֶרֶץ"" strong=""b:H0776"" x-morph=""He,Rd:Ncbsa""",1,1, בָּ⁠אָ֑רֶץ,,"He,Rd:Ncbsa",אֶרֶץ,b:H0776,True,H0776,,6,1,1,08-RUT
7," \w וַ⁠יֵּ֨לֶךְ|lemma=""יָלַךְ"" strong=""c:H3212"" x-morph=""He,C:Vqw3ms""",1,1, וַ⁠יֵּ֨לֶךְ,,"He,C:Vqw3ms",יָלַךְ,c:H3212,True,H3212,,7,1,1,08-RUT
8," \w אִ֜ישׁ|lemma=""אִישׁ"" strong=""H0376"" x-morph=""He,Ncmsa""",1,1, אִ֜ישׁ,,"He,Ncmsa",אִישׁ,H0376,False,H0376,,8,1,1,08-RUT
9," \k-s | x-tw=""rc://*/tw/dict/bible/names/bethlehem""\*\w מִ⁠בֵּ֧ית|lemma=""בֵּית לֶחֶם"" strong=""m:H1035"" x-morph=""He,R:Np""",1,1, ,"\k-s | x-tw=""rc://*/tw/dict/bible/names/bethlehem""\*","He,R:Np",בֵּית לֶחֶם,m:H1035,True,H1035,rc://*/tw/dict/bible/names/bethlehem,9,1,1,08-RUT
10," \w לֶ֣חֶם|lemma=""בֵּית לֶחֶם"" strong=""H1035"" x-morph=""He,Np""",1,1, לֶ֣חֶם,,"He,Np",בֵּית לֶחֶם,H1035,False,H1035,,10,1,1,08-RUT
11," \k-e\* \w יְהוּדָ֗ה|lemma=""יְהוּדָה"" strong=""H3063"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/judah""",1,1, יְהוּדָ֗ה,\k-e\* ,"He,Np",יְהוּדָה,H3063,False,H3063,rc://*/tw/dict/bible/names/judah,11,1,1,08-RUT
12," \w לָ⁠גוּר֙|lemma=""גּוּר"" strong=""l:H1481a"" x-morph=""He,R:Vqc""",1,1, לָ⁠גוּר֙,,"He,R:Vqc",גּוּר,l:H1481a,True,H1481a,,12,1,1,08-RUT
13," \w בִּ⁠שְׂדֵ֣י|lemma=""שָׂדֶה"" strong=""b:H7704b"" x-morph=""He,R:Ncmpc""",1,1, בִּ⁠שְׂדֵ֣י,,"He,R:Ncmpc",שָׂדֶה,b:H7704b,True,H7704,,13,1,1,08-RUT
