index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w דִּבְרֵ֣י|lemma=""דָּבָר"" strong=""H1697"" x-morph=""He,Ncmpc""",1,1, דִּבְרֵ֣י,,"He,Ncmpc",דָּבָר,H1697,False,H1697,,0,1,1,30-AMO
1," \w עָמ֔וֹס|lemma=""עָמוֹס"" strong=""H5986"" x-morph=""He,Np""",1,1, עָמ֔וֹס,,"He,Np",עָמוֹס,H5986,False,H5986,,1,1,1,30-AMO
2," \w אֲשֶׁר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,1, אֲשֶׁר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,2,1,1,30-AMO
3,"־\w הָיָ֥ה|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3ms""",1,1, הָיָ֥ה,־,"He,Vqp3ms",הָיָה,H1961,False,H1961,,3,1,1,30-AMO
4," \w בַ⁠נֹּקְדִ֖ים|lemma=""נֹקֵד"" strong=""b:H5349"" x-morph=""He,Rd:Ncmpa""",1,1, בַ⁠נֹּקְדִ֖ים,,"He,Rd:Ncmpa",נֹקֵד,b:H5349,True,H5349,,4,1,1,30-AMO
5," \w מִ⁠תְּק֑וֹעַ|lemma=""תְּקוֹעַ"" strong=""m:H8620"" x-morph=""He,R:Np""",1,1, מִ⁠תְּק֑וֹעַ,,"He,R:Np",תְּקוֹעַ,m:H8620,True,H8620,,5,1,1,30-AMO
6," \w אֲשֶׁר֩|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,1, אֲשֶׁר֩,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,6,1,1,30-AMO
7," \w חָזָ֨ה|lemma=""חָזָה"" strong=""H2372"" x-morph=""He,Vqp3ms""",1,1, חָזָ֨ה,,"He,Vqp3ms",חָזָה,H2372,False,H2372,,7,1,1,30-AMO
8," \w עַל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",1,1, עַל,,"He,R",עַל,H5921a,False,H5921a,,8,1,1,30-AMO
9,"־\w יִשְׂרָאֵ֜ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",1,1, יִשְׂרָאֵ֜ל,־,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,9,1,1,30-AMO
10," \w בִּ⁠ימֵ֣י|lemma=""יוֹם"" strong=""b:H3117"" x-morph=""He,R:Ncmpc""",1,1, בִּ⁠ימֵ֣י,,"He,R:Ncmpc",יוֹם,b:H3117,True,H3117,,10,1,1,30-AMO
11," ׀ \w עֻזִיָּ֣ה|lemma=""עֻזִּיָּה"" strong=""H5818"" x-morph=""He,Np""",1,1, עֻזִיָּ֣ה,׀ ,"He,Np",עֻזִּיָּה,H5818,False,H5818,,11,1,1,30-AMO
12," \w מֶֽלֶךְ|lemma=""מֶלֶךְ"" strong=""H4428"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/king""",1,1, מֶֽלֶךְ,,"He,Ncmsc",מֶלֶךְ,H4428,False,H4428,rc://*/tw/dict/bible/other/king,12,1,1,30-AMO
13,"־\w יְהוּדָ֗ה|lemma=""יְהוּדָה"" strong=""H3063"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/judea""",1,1, יְהוּדָ֗ה,־,"He,Np",יְהוּדָה,H3063,False,H3063,rc://*/tw/dict/bible/names/judea,13,1,1,30-AMO
14," \w וּ⁠בִ⁠ימֵ֞י|lemma=""יוֹם"" strong=""c:b:H3117"" x-morph=""He,C:R:Ncmpc""",1,1, וּ⁠בִ⁠ימֵ֞י,,"He,C:R:Ncmpc",יוֹם,c:b:H3117,True,H3117,,14,1,1,30-AMO
15," \w יָרָבְעָ֤ם|lemma=""יָרׇבְעָם"" strong=""H3379"" x-morph=""He,Np""",1,1, יָרָבְעָ֤ם,,"He,Np",יָרׇבְעָם,H3379,False,H3379,,15,1,1,30-AMO
16," \w בֶּן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶּן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,16,1,1,30-AMO
17,"־\w יוֹאָשׁ֙|lemma=""יוֹאָשׁ"" strong=""H3101"" x-morph=""He,Np""",1,1, יוֹאָשׁ֙,־,"He,Np",יוֹאָשׁ,H3101,False,H3101,,17,1,1,30-AMO
18," \w מֶ֣לֶךְ|lemma=""מֶלֶךְ"" strong=""H4428"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/king""",1,1, מֶ֣לֶךְ,,"He,Ncmsc",מֶלֶךְ,H4428,False,H4428,rc://*/tw/dict/bible/other/king,18,1,1,30-AMO
19," \w יִשְׂרָאֵ֔ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",1,1, יִשְׂרָאֵ֔ל,,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,19,1,1,30-AMO
20," \w שְׁנָתַ֖יִם|lemma=""שָׁנֶה"" strong=""H8141"" x-morph=""He,Ncfda""",1,1, שְׁנָתַ֖יִם,,"He,Ncfda",שָׁנֶה,H8141,False,H8141,,20,1,1,30-AMO
21," \w לִ⁠פְנֵ֥י|lemma=""פָּנִים"" strong=""l:H6440"" x-morph=""He,R:Ncbpc""",1,1, לִ⁠פְנֵ֥י,,"He,R:Ncbpc",פָּנִים,l:H6440,True,H6440,,21,1,1,30-AMO
22," \w הָ⁠רָֽעַשׁ|lemma=""רַעַשׁ"" strong=""d:H7494"" x-morph=""He,Td:Ncmsa""",1,1, הָ⁠רָֽעַשׁ,,"He,Td:Ncmsa",רַעַשׁ,d:H7494,True,H7494,,22,1,1,30-AMO
24,"\w וַ⁠יֹּאמַ֓ר|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqw3ms""",1,2, וַ⁠יֹּאמַ֓ר,,"He,C:Vqw3ms",אָמַר,c:H0559,True,H0559,,24,1,1,30-AMO
25," ׀ \w יְהוָה֙|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,2, יְהוָה֙,׀ ,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,25,1,1,30-AMO
26," \w מִ⁠צִיּ֣וֹן|lemma=""צִיּוֹן"" strong=""m:H6726"" x-morph=""He,R:Np"" x-tw=""rc://*/tw/dict/bible/kt/zion""",1,2, מִ⁠צִיּ֣וֹן,,"He,R:Np",צִיּוֹן,m:H6726,True,H6726,rc://*/tw/dict/bible/kt/zion,26,1,1,30-AMO
