index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w וַ⁠יִּתְחַזֵּ֛ק|lemma=""חָזַק"" strong=""c:H2388"" x-morph=""He,C:Vtw3ms""",1,1, וַ⁠יִּתְחַזֵּ֛ק,,"He,C:Vtw3ms",חָזַק,c:H2388,True,H2388,,0,1,1,14-2CH
1," \w שְׁלֹמֹ֥ה|lemma=""שְׁלֹמֹה"" strong=""H8010"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/solomon""",1,1, שְׁלֹמֹ֥ה,,"He,Np",שְׁלֹמֹה,H8010,False,H8010,rc://*/tw/dict/bible/names/solomon,1,1,1,14-2CH
2," \w בֶן|lemma=""בֵּן"" strong=""H1121a"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,1, בֶן,,"He,Ncmsc",בֵּן,H1121a,False,H1121a,rc://*/tw/dict/bible/kt/son,2,1,1,14-2CH
3,"־\w דָּוִ֖יד|lemma=""דָּוִד"" strong=""H1732"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/david""",1,1, דָּוִ֖יד,־,"He,Np",דָּוִד,H1732,False,H1732,rc://*/tw/dict/bible/names/david,3,1,1,14-2CH
4," \w עַל|lemma=""עַל"" strong=""H5921a"" x-morph=""He,R""",1,1, עַל,,"He,R",עַל,H5921a,False,H5921a,,4,1,1,14-2CH
5,"־\w מַלְכוּת֑⁠וֹ|lemma=""מַלְכוּת"" strong=""H4438"" x-morph=""He,Ncfsc:Sp3ms"" x-tw=""rc://*/tw/dict/bible/other/kingdom""",1,1, מַלְכוּת֑⁠וֹ,־,"He,Ncfsc:Sp3ms",מַלְכוּת,H4438,False,H4438,rc://*/tw/dict/bible/other/kingdom,5,1,1,14-2CH
6," \w וַ⁠יהוָ֤ה|lemma=""יְהֹוָה"" strong=""c:H3068"" x-morph=""He,C:Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,1, וַ⁠יהוָ֤ה,,"He,C:Np",יְהֹוָה,c:H3068,True,H3068,rc://*/tw/dict/bible/kt/yahweh,6,1,1,14-2CH
7," \w אֱלֹהָי⁠ו֙|lemma=""אֱלֹהִים"" strong=""H0430"" x-morph=""He,Ncmpc:Sp3ms"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, אֱלֹהָי⁠ו֙,,"He,Ncmpc:Sp3ms",אֱלֹהִים,H0430,False,H0430,rc://*/tw/dict/bible/kt/god,7,1,1,14-2CH
8," \w עִמּ֔⁠וֹ|lemma=""עִם"" strong=""H5973a"" x-morph=""He,R:Sp3ms""",1,1, עִמּ֔⁠וֹ,,"He,R:Sp3ms",עִם,H5973a,False,H5973a,,8,1,1,14-2CH
9," \w וַֽ⁠יְגַדְּלֵ֖⁠הוּ|lemma=""גָּדַל"" strong=""c:H1431"" x-morph=""He,C:Vpw3ms:Sp3ms""",1,1, וַֽ⁠יְגַדְּלֵ֖⁠הוּ,,"He,C:Vpw3ms:Sp3ms",גָּדַל,c:H1431,True,H1431,,9,1,1,14-2CH
10," \w לְ⁠מָֽעְלָ⁠ה|lemma=""מַעַל"" strong=""l:H4605"" x-morph=""He,R:D:Sd""",1,1, לְ⁠מָֽעְלָ⁠ה,,"He,R:D:Sd",מַעַל,l:H4605,True,H4605,,10,1,1,14-2CH
12,"\w וַ⁠יֹּ֣אמֶר|lemma=""אָמַר"" strong=""c:H0559"" x-morph=""He,C:Vqw3ms""",1,2, וַ⁠יֹּ֣אמֶר,,"He,C:Vqw3ms",אָמַר,c:H0559,True,H0559,,12,1,1,14-2CH
13," \w שְׁלֹמֹ֣ה|lemma=""שְׁלֹמֹה"" strong=""H8010"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/solomon""",1,2, שְׁלֹמֹ֣ה,,"He,Np",שְׁלֹמֹה,H8010,False,H8010,rc://*/tw/dict/bible/names/solomon,13,1,1,14-2CH
14," \w לְ⁠כָל|lemma=""כֹּל"" strong=""l:H3605"" x-morph=""He,R:Ncmsc""",1,2, לְ⁠כָל,,"He,R:Ncmsc",כֹּל,l:H3605,True,H3605,,14,2,1,14-2CH
15,"־\w יִשְׂרָאֵ֡ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",1,2, יִשְׂרָאֵ֡ל,־,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,15,1,1,14-2CH
16," \w לְ⁠שָׂרֵי֩|lemma=""שַׂר"" strong=""l:H8269"" x-morph=""He,R:Ncmpc"" x-tw=""rc://*/tw/dict/bible/other/chief""",1,2, לְ⁠שָׂרֵי֩,,"He,R:Ncmpc",שַׂר,l:H8269,True,H8269,rc://*/tw/dict/bible/other/chief,16,1,1,14-2CH
17," \w הָ⁠אֲלָפִ֨ים|lemma=""אֶלֶף"" strong=""d:H0505"" x-morph=""He,Td:Acbpa""",1,2, הָ⁠אֲלָפִ֨ים,,"He,Td:Acbpa",אֶלֶף,d:H0505,True,H0505,,17,1,1,14-2CH
18," \w וְ⁠הַ⁠מֵּא֜וֹת|lemma=""מֵאָה"" strong=""c:d:H3967"" x-morph=""He,C:Td:Acbpa""",1,2, וְ⁠הַ⁠מֵּא֜וֹת,,"He,C:Td:Acbpa",מֵאָה,c:d:H3967,True,H3967,,18,1,1,14-2CH
19," \w וְ⁠לַ⁠שֹּֽׁפְטִ֗ים|lemma=""שָׁפַט"" strong=""c:l:H8199"" x-morph=""He,C:Rd:Vqrmpa""",1,2, וְ⁠לַ⁠שֹּֽׁפְטִ֗ים,,"He,C:Rd:Vqrmpa",שָׁפַט,c:l:H8199,True,H8199,,19,1,1,14-2CH
20," \w וּ⁠לְ⁠כֹ֛ל|lemma=""כֹּל"" strong=""c:l:H3605"" x-morph=""He,C:R:Ncmsc""",1,2, וּ⁠לְ⁠כֹ֛ל,,"He,C:R:Ncmsc",כֹּל,c:l:H3605,True,H3605,,20,1,1,14-2CH
21," \w נָשִׂ֥יא|lemma=""נָשִׂיא"" strong=""H5387a"" x-morph=""He,Ncmsa""",1,2, נָשִׂ֥יא,,"He,Ncmsa",נָשִׂיא,H5387a,False,H5387a,,21,1,1,14-2CH
22," \w לְ⁠כָל|lemma=""כֹּל"" strong=""l:H3605"" x-morph=""He,R:Ncmsc""",1,2, לְ⁠כָל,,"He,R:Ncmsc",כֹּל,l:H3605,True,H3605,,22,2,2,14-2CH
23,"־\w יִשְׂרָאֵ֖ל|lemma=""יִשְׂרָאֵל"" strong=""H3478"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/israel""",1,2, יִשְׂרָאֵ֖ל,־,"He,Np",יִשְׂרָאֵל,H3478,False,H3478,rc://*/tw/dict/bible/kt/israel,23,1,1,14-2CH
24," \w רָאשֵׁ֥י|lemma=""רֹאשׁ"" strong=""H7218a"" x-morph=""He,Ncmpc"" x-tw=""rc://*/tw/dict/bible/other/head""",1,2, רָאשֵׁ֥י,,"He,Ncmpc",רֹאשׁ,H7218a,False,H7218a,rc://*/tw/dict/bible/other/head,24,1,1,14-2CH
25," \w הָ⁠אָבֽוֹת|lemma=""אָב"" strong=""d:H0001"" x-morph=""He,Td:Ncmpa"" x-tw=""rc://*/tw/dict/bible/other/father""",1,2, הָ⁠אָבֽוֹת,,"He,Td:Ncmpa",אָב,d:H0001,True,H0001,rc://*/tw/dict/bible/other/father,25,1,1,14-2CH
27,"\w וַ⁠יֵּלְכ֗וּ|lemma=""יָלַךְ"" strong=""c:H3212"" x-morph=""He,C:Vqw3mp""",1,3, וַ⁠יֵּלְכ֗וּ,,"He,C:Vqw3mp",יָלַךְ,c:H3212,True,H3212,,27,1,1,14-2CH
28," \w שְׁלֹמֹה֙|lemma=""שְׁלֹמֹה"" strong=""H8010"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/solomon""",1,3, שְׁלֹמֹה֙,,"He,Np",שְׁלֹמֹה,H8010,False,H8010,rc://*/tw/dict/bible/names/solomon,28,1,1,14-2CH
29," \w וְ⁠כָל|lemma=""כֹּל"" strong=""c:H3605"" x-morph=""He,C:Ncmsc""",1,3, וְ⁠כָל,,"He,C:Ncmsc",כֹּל,c:H3605,True,H3605,,29,1,1,14-2CH
30,"־\w הַ⁠קָּהָ֣ל|lemma=""קָהָל"" strong=""d:H6951"" x-morph=""He,Td:Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/assembly""",1,3, הַ⁠קָּהָ֣ל,־,"He,Td:Ncmsa",קָהָל,d:H6951,True,H6951,rc://*/tw/dict/bible/other/assembly,30,1,1,14-2CH
31," \w עִמּ֔⁠וֹ|lemma=""עִם"" strong=""H5973a"" x-morph=""He,R:Sp3ms""",1,3, עִמּ֔⁠וֹ,,"He,R:Sp3ms",עִם,H5973a,False,H5973a,,31,1,1,14-2CH
32," \w לַ⁠בָּמָ֖ה|lemma=""בָּמָה"" strong=""l:H1116"" x-morph=""He,Rd:Ncfsa""",1,3, לַ⁠בָּמָ֖ה,,"He,Rd:Ncfsa",בָּמָה,l:H1116,True,H1116,,32,1,1,14-2CH
33," \w אֲשֶׁ֣ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,3, אֲשֶׁ֣ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,33,1,1,14-2CH
34," \w בְּ⁠גִבְע֑וֹן|lemma=""גִּבְעוֹן"" strong=""b:H1391"" x-morph=""He,R:Np""",1,3, בְּ⁠גִבְע֑וֹן,,"He,R:Np",גִּבְעוֹן,b:H1391,True,H1391,,34,1,1,14-2CH
35," \w כִּי|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",1,3, כִּי,,"He,C",כִּי,H3588a,False,H3588a,,35,1,1,14-2CH
36,"־\w שָׁ֣ם|lemma=""שָׁם"" strong=""H8033"" x-morph=""He,D""",1,3, שָׁ֣ם,־,"He,D",שָׁם,H8033,False,H8033,,36,1,1,14-2CH
37," \w הָיָ֗ה|lemma=""הָיָה"" strong=""H1961"" x-morph=""He,Vqp3ms""",1,3, הָיָ֗ה,,"He,Vqp3ms",הָיָה,H1961,False,H1961,,37,1,1,14-2CH
38," \w אֹ֤הֶל|lemma=""אֹהֶל"" strong=""H0168"" x-morph=""He,Ncmsc""",1,3, אֹ֤הֶל,,"He,Ncmsc",אֹהֶל,H0168,False,H0168,,38,1,1,14-2CH
39," \w מוֹעֵד֙|lemma=""מוֹעֵד"" strong=""H4150"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/feast""",1,3, מוֹעֵד֙,,"He,Ncmsc",מוֹעֵד,H4150,False,H4150,rc://*/tw/dict/bible/other/feast,39,1,1,14-2CH
40," \w הָֽ⁠אֱלֹהִ֔ים|lemma=""אֱלֹהִים"" strong=""d:H0430"" x-morph=""He,Td:Ncmpa"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,3, הָֽ⁠אֱלֹהִ֔ים,,"He,Td:Ncmpa",אֱלֹהִים,d:H0430,True,H0430,rc://*/tw/dict/bible/kt/god,40,1,1,14-2CH
41," \w אֲשֶׁ֥ר|lemma=""אֲשֶׁר"" strong=""H0834a"" x-morph=""He,Tr""",1,3, אֲשֶׁ֥ר,,"He,Tr",אֲשֶׁר,H0834a,False,H0834a,,41,1,1,14-2CH
42," \w עָשָׂ֛ה|lemma=""עָשָׂה"" strong=""H6213a"" x-morph=""He,Vqp3ms""",1,3, עָשָׂ֛ה,,"He,Vqp3ms",עָשָׂה,H6213a,False,H6213a,,42,1,1,14-2CH
43," \w מֹשֶׁ֥ה|lemma=""מֹשֶׁה"" strong=""H4872"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/moses""",1,3, מֹשֶׁ֥ה,,"He,Np",מֹשֶׁה,H4872,False,H4872,rc://*/tw/dict/bible/names/moses,43,1,1,14-2CH
44," \w עֶֽבֶד|lemma=""עֶבֶד"" strong=""H5650"" x-morph=""He,Ncmsc"" x-tw=""rc://*/tw/dict/bible/other/servant""",1,3, עֶֽבֶד,,"He,Ncmsc",עֶבֶד,H5650,False,H5650,rc://*/tw/dict/bible/other/servant,44,1,1,14-2CH
45,"־\w יְהוָ֖ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",1,3, יְהוָ֖ה,־,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,45,1,1,14-2CH
46," \w בַּ⁠מִּדְבָּֽר|lemma=""מִדְבָּר"" strong=""b:H4057b"" x-morph=""He,Rd:Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/desert""",1,3, בַּ⁠מִּדְבָּֽר,,"He,Rd:Ncmsa",מִדְבָּר,b:H4057b,True,H4057,rc://*/tw/dict/bible/other/desert,46,1,1,14-2CH
48,"\w אֲבָ֗ל|lemma=""אֲבָל"" strong=""H0061"" x-morph=""He,D""",1,4, אֲבָ֗ל,,"He,D",אֲבָל,H0061,False,H0061,,48,1,1,14-2CH
49," \w אֲר֤וֹן|lemma=""אָרוֹן"" strong=""H0727"" x-morph=""He,Ncbsc""",1,4, אֲר֤וֹן,,"He,Ncbsc",אָרוֹן,H0727,False,H0727,,49,1,1,14-2CH
50," \w הָ⁠אֱלֹהִים֙|lemma=""אֱלֹהִים"" strong=""d:H0430"" x-morph=""He,Td:Ncmpa"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,4, הָ⁠אֱלֹהִים֙,,"He,Td:Ncmpa",אֱלֹהִים,d:H0430,True,H0430,rc://*/tw/dict/bible/kt/god,50,1,1,14-2CH
51," \w הֶעֱלָ֤ה|lemma=""עָלָה"" strong=""H5927"" x-morph=""He,Vhp3ms""",1,4, הֶעֱלָ֤ה,,"He,Vhp3ms",עָלָה,H5927,False,H5927,,51,1,1,14-2CH
52," \w דָוִיד֙|lemma=""דָּוִד"" strong=""H1732"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/david""",1,4, דָוִיד֙,,"He,Np",דָּוִד,H1732,False,H1732,rc://*/tw/dict/bible/names/david,52,1,1,14-2CH
53," \w מִ⁠קִּרְיַ֣ת|lemma=""קִרְיַת יְעָרִים"" strong=""m:H7157"" x-morph=""He,R:Np""",1,4, מִ⁠קִּרְיַ֣ת,,"He,R:Np",קִרְיַת יְעָרִים,m:H7157,True,H7157,,53,1,1,14-2CH
54," \w יְעָרִ֔ים|lemma=""קִרְיַת יְעָרִים"" strong=""H7157"" x-morph=""He,Np""",1,4, יְעָרִ֔ים,,"He,Np",קִרְיַת יְעָרִים,H7157,False,H7157,,54,1,1,14-2CH
55," \w בַּֽ⁠הֵכִ֥ין|lemma=""כּוּן"" strong=""b:H3559a"" x-morph=""He,Rd:Vhp3ms""",1,4, בַּֽ⁠הֵכִ֥ין,,"He,Rd:Vhp3ms",כּוּן,b:H3559a,True,H3559a,,55,1,1,14-2CH
56," \w ל֖⁠וֹ|lemma="""" strong=""l"" x-morph=""He,R:Sp3ms""",1,4, ל֖⁠וֹ,,"He,R:Sp3ms",,l,False,,,56,1,1,14-2CH
57," \w דָּוִ֑יד|lemma=""דָּוִד"" strong=""H1732"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/names/david""",1,4, דָּוִ֑יד,,"He,Np",דָּוִד,H1732,False,H1732,rc://*/tw/dict/bible/names/david,57,1,1,14-2CH
58," \w כִּ֧י|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",1,4, כִּ֧י,,"He,C",כִּי,H3588a,False,H3588a,,58,1,1,14-2CH
59," \w נָֽטָה|lemma=""נָטָה"" strong=""H5186"" x-morph=""He,Vqp3ms""",1,4, נָֽטָה,,"He,Vqp3ms",נָטָה,H5186,False,H5186,,59,1,1,14-2CH
60,"־\w ל֛⁠וֹ|lemma="""" strong=""l"" x-morph=""He,R:Sp3ms""",1,4, ל֛⁠וֹ,־,"He,R:Sp3ms",,l,False,,,60,1,1,14-2CH
