index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w ἀποκάλυψις|lemma=""ἀποκάλυψις"" strong=""G06020"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/reveal""",1,1, ἀποκάλυψις,,"Gr,N,,,,,NFS,",ἀποκάλυψις,G06020,False,G06020,rc://*/tw/dict/bible/kt/reveal,0,1,1,67-REV
1," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,1,1,1,67-REV
2," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,2,1,1,67-REV
3,", \w ἣν|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,AFS,""",1,1, ἣν,", ","Gr,RR,,,,AFS,",ὅς,G37390,False,G37390,,3,1,1,67-REV
4," \w ἔδωκεν|lemma=""δίδωμι"" strong=""G13250"" x-morph=""Gr,V,IAA3,,S,""",1,1, ἔδωκεν,,"Gr,V,IAA3,,S,",δίδωμι,G13250,False,G13250,,4,1,1,67-REV
5," \w αὐτῷ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3DMS,""",1,1, αὐτῷ,,"Gr,RP,,,3DMS,",αὐτός,G08460,False,G08460,,5,1,1,67-REV
6," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,1, ὁ,,"Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,6,1,1,67-REV
7," \w Θεὸς|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεὸς,,"Gr,N,,,,,NMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,7,1,1,67-REV
8,", \w δεῖξαι|lemma=""δεικνύω"" strong=""G11660"" x-morph=""Gr,V,NAA,,,,,""",1,1, δεῖξαι,", ","Gr,V,NAA,,,,,",δεικνύω,G11660,False,G11660,,8,1,1,67-REV
9," \w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,1, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,9,1,1,67-REV
