index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
0,"\w Παῦλος|lemma=""Παῦλος"" strong=""G39720"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/paul""",1,1, Παῦλος,,"Gr,N,,,,,NMS,",Παῦλος,G39720,False,G39720,rc://*/tw/dict/bible/names/paul,0,1,1,52-COL
1," \w ἀπόστολος|lemma=""ἀπόστολος"" strong=""G06520"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/apostle""",1,1, ἀπόστολος,,"Gr,N,,,,,NMS,",ἀπόστολος,G06520,False,G06520,rc://*/tw/dict/bible/kt/apostle,1,1,1,52-COL
2," \k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*\w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*","Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/jesus,2,2,1,52-COL
3," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,""",1,1, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,,3,1,1,52-COL
4," \k-e\* \w διὰ|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,G,,,""",1,1, διὰ,\k-e\* ,"Gr,P,,,,,G,,,",διά,G12230,False,G12230,,4,1,1,52-COL
5," \k-s |x-tw=""rc://*/tw/dict/bible/kt/willofgod""\*\w θελήματος|lemma=""θέλημα"" strong=""G23070"" x-morph=""Gr,N,,,,,GNS,""",1,1, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/willofgod""\*","Gr,N,,,,,GNS,",θέλημα,G23070,False,G23070,rc://*/tw/dict/bible/kt/willofgod,5,2,2,52-COL
6," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,1, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,6,1,1,52-COL
7,", \k-e\* \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,1, καὶ,", \k-e\* ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,7,1,1,52-COL
8," \w Τιμόθεος|lemma=""Τιμόθεος"" strong=""G50950"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/names/timothy""",1,1, Τιμόθεος,,"Gr,N,,,,,NMS,",Τιμόθεος,G50950,False,G50950,rc://*/tw/dict/bible/names/timothy,8,1,1,52-COL
9," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EP,,,,NMS,""",1,1, ὁ,,"Gr,EP,,,,NMS,",ὁ,G35880,False,G35880,,9,1,1,52-COL
10," \w ἀδελφὸς|lemma=""ἀδελφός"" strong=""G00800"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/brother""",1,1, ἀδελφὸς,,"Gr,N,,,,,NMS,",ἀδελφός,G00800,False,G00800,rc://*/tw/dict/bible/kt/brother,10,1,1,52-COL
12,"\w τοῖς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMP,""",1,2, τοῖς,,"Gr,EA,,,,DMP,",ὁ,G35880,False,G35880,,12,1,1,52-COL
13," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,2, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,13,1,1,52-COL
14," \w Κολοσσαῖς|lemma=""Κολοσσαί"" strong=""G28570"" x-morph=""Gr,N,,,,,DFP,"" x-tw=""rc://*/tw/dict/bible/names/colossae""",1,2, Κολοσσαῖς,,"Gr,N,,,,,DFP,",Κολοσσαί,G28570,False,G28570,rc://*/tw/dict/bible/names/colossae,14,1,1,52-COL
15," \w ἁγίοις|lemma=""ἅγιος"" strong=""G00400"" x-morph=""Gr,AA,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/saint""",1,2, ἁγίοις,,"Gr,AA,,,,DMP,",ἅγιος,G00400,False,G00400,rc://*/tw/dict/bible/kt/saint,15,1,1,52-COL
16,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,16,3,1,52-COL
17," \w πιστοῖς|lemma=""πιστός"" strong=""G41030"" x-morph=""Gr,AA,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/faithful""",1,2, πιστοῖς,,"Gr,AA,,,,DMP,",πιστός,G41030,False,G41030,rc://*/tw/dict/bible/kt/faithful,17,1,1,52-COL
18," \w ἀδελφοῖς|lemma=""ἀδελφός"" strong=""G00800"" x-morph=""Gr,N,,,,,DMP,"" x-tw=""rc://*/tw/dict/bible/kt/brother""",1,2, ἀδελφοῖς,,"Gr,N,,,,,DMP,",ἀδελφός,G00800,False,G00800,rc://*/tw/dict/bible/kt/brother,18,1,1,52-COL
19," \k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*\w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*","Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,rc://*/tw/dict/bible/kt/inchrist,19,2,1,52-COL
20," \w Χριστῷ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,2, Χριστῷ,,"Gr,N,,,,,DMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,20,1,1,52-COL
21,": \k-e\* \w χάρις|lemma=""χάρις"" strong=""G54850"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/grace""",1,2, χάρις,: \k-e\* ,"Gr,N,,,,,NFS,",χάρις,G54850,False,G54850,rc://*/tw/dict/bible/kt/grace,21,1,1,52-COL
22," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,2, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,22,1,1,52-COL
23," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,23,3,2,52-COL
24," \w εἰρήνη|lemma=""εἰρήνη"" strong=""G15150"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/peace""",1,2, εἰρήνη,,"Gr,N,,,,,NFS,",εἰρήνη,G15150,False,G15150,rc://*/tw/dict/bible/other/peace,24,1,1,52-COL
25," \w ἀπὸ|lemma=""ἀπό"" strong=""G05750"" x-morph=""Gr,P,,,,,G,,,""",1,2, ἀπὸ,,"Gr,P,,,,,G,,,",ἀπό,G05750,False,G05750,,25,1,1,52-COL
26," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,26,2,2,52-COL
27," \w Πατρὸς|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,""",1,2, Πατρὸς,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,,27,1,1,52-COL
28," \k-e\* \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,2, ἡμῶν,\k-e\* ,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,28,1,1,52-COL
29," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,29,3,3,52-COL
30," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,2, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,30,1,1,52-COL
31," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,2, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,31,1,1,52-COL
32," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,2, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,32,1,1,52-COL
34,"\w εὐχαριστοῦμεν|lemma=""εὐχαριστέω"" strong=""G21680"" x-morph=""Gr,V,IPA1,,P,""",1,3, εὐχαριστοῦμεν,,"Gr,V,IPA1,,P,",εὐχαριστέω,G21680,False,G21680,,34,1,1,52-COL
35," \w τῷ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMS,""",1,3, τῷ,,"Gr,EA,,,,DMS,",ὁ,G35880,False,G35880,,35,1,1,52-COL
36," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεῷ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,DMS,""",1,3, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,DMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,36,1,1,52-COL
37," \w Πατρὶ|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,DMS,""",1,3, Πατρὶ,,"Gr,N,,,,,DMS,",πατήρ,G39620,False,G39620,,37,1,1,52-COL
38," \k-e\* \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,3, τοῦ,\k-e\* ,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,38,1,1,52-COL
39," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,3, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,39,1,1,52-COL
40," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,3, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,40,1,1,52-COL
41," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,3, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,41,1,1,52-COL
42," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,3, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,42,1,1,52-COL
43,", \w πάντοτε|lemma=""πάντοτε"" strong=""G38420"" x-morph=""Gr,D,,,,,,,,,""",1,3, πάντοτε,", ","Gr,D,,,,,,,,,",πάντοτε,G38420,False,G38420,,43,1,1,52-COL
44," \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,3, περὶ,,"Gr,P,,,,,G,,,",περί,G40120,False,G40120,,44,1,1,52-COL
45," \w ὑμῶν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,P,""",1,3, ὑμῶν,,"Gr,RP,,,2G,P,",σύ,G47710,False,G47710,,45,1,1,52-COL
46," \w προσευχόμενοι|lemma=""προσεύχομαι"" strong=""G43360"" x-morph=""Gr,V,PPM,NMP,"" x-tw=""rc://*/tw/dict/bible/kt/pray""",1,3, προσευχόμενοι,,"Gr,V,PPM,NMP,",προσεύχομαι,G43360,False,G43360,rc://*/tw/dict/bible/kt/pray,46,1,1,52-COL
48,"\w ἀκούσαντες|lemma=""ἀκούω"" strong=""G01910"" x-morph=""Gr,V,PAA,NMP,""",1,4, ἀκούσαντες,,"Gr,V,PAA,NMP,",ἀκούω,G01910,False,G01910,,48,1,1,52-COL
49," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",1,4, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,49,2,1,52-COL
50," \w πίστιν|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",1,4, πίστιν,,"Gr,N,,,,,AFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,50,1,1,52-COL
51," \w ὑμῶν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,P,""",1,4, ὑμῶν,,"Gr,RP,,,2G,P,",σύ,G47710,False,G47710,,51,1,1,52-COL
52," \k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*\w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,4, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/inchrist""\*","Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,rc://*/tw/dict/bible/kt/inchrist,52,1,1,52-COL
53," \w Χριστῷ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,4, Χριστῷ,,"Gr,N,,,,,DMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,53,1,1,52-COL
