,token,chapter,verse,book
0,The,1,1,39-MAL
1,declaration,1,1,39-MAL
2,of,1,1,39-MAL
3,the,1,1,39-MAL
4,word,1,1,39-MAL
5,of,1,1,39-MAL
6,Yahweh,1,1,39-MAL
7,to,1,1,39-MAL
8,Israel,1,1,39-MAL
9,by,1,1,39-MAL
10,the,1,1,39-MAL
11,hand,1,1,39-MAL
12,of,1,1,39-MAL
13,Malachi.,1,1,39-MAL
14,\p,1,1,39-MAL
15,“I,1,2,39-MAL
16,have,1,2,39-MAL
17,loved,1,2,39-MAL
18,"you,”",1,2,39-MAL
19,says,1,2,39-MAL
20,Yahweh.,1,2,39-MAL
21,But,1,2,39-MAL
22,you,1,2,39-MAL
23,"say,",1,2,39-MAL
24,“How,1,2,39-MAL
25,have,1,2,39-MAL
26,you,1,2,39-MAL
27,loved,1,2,39-MAL
28,us?”,1,2,39-MAL
29,“Was,1,2,39-MAL
30,not,1,2,39-MAL
31,Esau,1,2,39-MAL
32,Jacob’s,1,2,39-MAL
33,brother?”,1,2,39-MAL
34,declares,1,2,39-MAL
35,Yahweh.,1,2,39-MAL
36,“Yet,1,2,39-MAL
37,I,1,2,39-MAL
38,have,1,2,39-MAL
39,loved,1,2,39-MAL
40,"Jacob,",1,2,39-MAL
41,but,1,3,39-MAL
42,Esau,1,3,39-MAL
43,I,1,3,39-MAL
44,have,1,3,39-MAL
45,hated.,1,3,39-MAL
46,I,1,3,39-MAL
47,have,1,3,39-MAL
48,made,1,3,39-MAL
49,his,1,3,39-MAL
50,mountains,1,3,39-MAL
51,an,1,3,39-MAL
52,abandoned,1,3,39-MAL
53,"devastation,",1,3,39-MAL
54,and,1,3,39-MAL
55,I,1,3,39-MAL
56,have,1,3,39-MAL
57,made,1,3,39-MAL
58,his,1,3,39-MAL
59,inheritance,1,3,39-MAL
60,a,1,3,39-MAL
61,place,1,3,39-MAL
62,for,1,3,39-MAL
63,the,1,3,39-MAL
64,jackals,1,3,39-MAL
65,of,1,3,39-MAL
66,the,1,3,39-MAL
67,wilderness.”,1,3,39-MAL
68,If,1,4,39-MAL
69,Edom,1,4,39-MAL
70,"says,",1,4,39-MAL
71,“We,1,4,39-MAL
72,are,1,4,39-MAL
73,beaten,1,4,39-MAL
74,"down,",1,4,39-MAL
75,but,1,4,39-MAL
76,we,1,4,39-MAL
77,will,1,4,39-MAL
78,rebuild,1,4,39-MAL
79,the,1,4,39-MAL
80,"ruins,”",1,4,39-MAL
81,Yahweh,1,4,39-MAL
82,of,1,4,39-MAL
83,hosts,1,4,39-MAL
84,will,1,4,39-MAL
85,"say,",1,4,39-MAL
86,“They,1,4,39-MAL
87,may,1,4,39-MAL
88,"rebuild,",1,4,39-MAL
89,but,1,4,39-MAL
90,I,1,4,39-MAL
91,will,1,4,39-MAL
92,throw,1,4,39-MAL
93,down,1,4,39-MAL
94,again.,1,4,39-MAL
95,Others,1,4,39-MAL
96,will,1,4,39-MAL
97,call,1,4,39-MAL
98,them,1,4,39-MAL
99,‘The,1,4,39-MAL
100,country,1,4,39-MAL
101,of,1,4,39-MAL
102,wickedness’,1,4,39-MAL
103,and,1,4,39-MAL
104,‘The,1,4,39-MAL
105,people,1,4,39-MAL
106,whom,1,4,39-MAL
107,Yahweh,1,4,39-MAL
108,has,1,4,39-MAL
109,cursed,1,4,39-MAL
110,forever.’,1,4,39-MAL
111,Your,1,5,39-MAL
112,own,1,5,39-MAL
113,eyes,1,5,39-MAL
114,will,1,5,39-MAL
115,see,1,5,39-MAL
116,"this,",1,5,39-MAL
117,and,1,5,39-MAL
118,you,1,5,39-MAL
119,will,1,5,39-MAL
120,"say,",1,5,39-MAL
121,‘Yahweh,1,5,39-MAL
122,is,1,5,39-MAL
123,great,1,5,39-MAL
124,beyond,1,5,39-MAL
125,the,1,5,39-MAL
126,borders,1,5,39-MAL
127,of,1,5,39-MAL
128,Israel.’”,1,5,39-MAL
129,\p,1,5,39-MAL
130,“A,1,6,39-MAL
131,son,1,6,39-MAL
132,honors,1,6,39-MAL
133,his,1,6,39-MAL
134,"father,",1,6,39-MAL
135,and,1,6,39-MAL
136,a,1,6,39-MAL
137,servant,1,6,39-MAL
138,honors,1,6,39-MAL
139,his,1,6,39-MAL
140,master.,1,6,39-MAL
141,If,1,6,39-MAL
142,"I,",1,6,39-MAL
143,"then,",1,6,39-MAL
144,am,1,6,39-MAL
145,a,1,6,39-MAL
146,"father,",1,6,39-MAL
147,where,1,6,39-MAL
148,is,1,6,39-MAL
149,my,1,6,39-MAL
150,honor?,1,6,39-MAL
151,If,1,6,39-MAL
152,I,1,6,39-MAL
153,am,1,6,39-MAL
154,a,1,6,39-MAL
155,"master,",1,6,39-MAL
156,where,1,6,39-MAL
157,is,1,6,39-MAL
158,the,1,6,39-MAL
159,reverence,1,6,39-MAL
160,for,1,6,39-MAL
161,me?”,1,6,39-MAL
162,says,1,6,39-MAL
163,Yahweh,1,6,39-MAL
164,of,1,6,39-MAL
165,hosts,1,6,39-MAL
