,token,chapter,verse,book
214,during,1,10,21-ECC
215,ages,1,10,21-ECC
216,which,1,10,21-ECC
217,came,1,10,21-ECC
218,long,1,10,21-ECC
219,before,1,10,21-ECC
220,us.,1,10,21-ECC
221,\q1,1,10,21-ECC
222,No,1,11,21-ECC
223,one,1,11,21-ECC
224,seems,1,11,21-ECC
225,to,1,11,21-ECC
226,remember,1,11,21-ECC
227,the,1,11,21-ECC
228,things,1,11,21-ECC
229,that,1,11,21-ECC
230,happened,1,11,21-ECC
231,in,1,11,21-ECC
232,ancient,1,11,21-ECC
233,"times,",1,11,21-ECC
234,and,1,11,21-ECC
235,the,1,11,21-ECC
236,things,1,11,21-ECC
237,that,1,11,21-ECC
238,happened,1,11,21-ECC
239,much,1,11,21-ECC
240,later,1,11,21-ECC
241,and,1,11,21-ECC
242,that,1,11,21-ECC
243,will,1,11,21-ECC
244,happen,1,11,21-ECC
245,in,1,11,21-ECC
246,the,1,11,21-ECC
247,future,1,11,21-ECC
248,\q1,1,11,21-ECC
249,will,1,11,21-ECC
250,not,1,11,21-ECC
251,likely,1,11,21-ECC
252,be,1,11,21-ECC
253,remembered,1,11,21-ECC
254,either.”,1,11,21-ECC
255,I,1,12,21-ECC
256,am,1,12,21-ECC
257,the,1,12,21-ECC
258,"Teacher,",1,12,21-ECC
259,and,1,12,21-ECC
260,I,1,12,21-ECC
261,have,1,12,21-ECC
262,been,1,12,21-ECC
263,king,1,12,21-ECC
264,over,1,12,21-ECC
265,Israel,1,12,21-ECC
266,in,1,12,21-ECC
267,Jerusalem.,1,12,21-ECC
268,I,1,13,21-ECC
269,applied,1,13,21-ECC
270,my,1,13,21-ECC
271,mind,1,13,21-ECC
272,to,1,13,21-ECC
273,study,1,13,21-ECC
274,and,1,13,21-ECC
275,to,1,13,21-ECC
276,search,1,13,21-ECC
277,out,1,13,21-ECC
278,by,1,13,21-ECC
279,wisdom,1,13,21-ECC
280,everything,1,13,21-ECC
281,that,1,13,21-ECC
282,is,1,13,21-ECC
283,done,1,13,21-ECC
284,under,1,13,21-ECC
285,heaven.,1,13,21-ECC
286,That,1,13,21-ECC
287,search,1,13,21-ECC
288,is,1,13,21-ECC
289,a,1,13,21-ECC
290,burdensome,1,13,21-ECC
291,task,1,13,21-ECC
292,that,1,13,21-ECC
293,God,1,13,21-ECC
294,has,1,13,21-ECC
295,given,1,13,21-ECC
296,to,1,13,21-ECC
297,the,1,13,21-ECC
298,children,1,13,21-ECC
299,of,1,13,21-ECC
300,mankind,1,13,21-ECC
301,to,1,13,21-ECC
302,be,1,13,21-ECC
303,busy,1,13,21-ECC
304,with.,1,13,21-ECC
305,I,1,14,21-ECC
306,have,1,14,21-ECC
307,seen,1,14,21-ECC
308,all,1,14,21-ECC
309,the,1,14,21-ECC
310,deeds,1,14,21-ECC
311,that,1,14,21-ECC
312,are,1,14,21-ECC
313,done,1,14,21-ECC
314,under,1,14,21-ECC
315,the,1,14,21-ECC
316,"sun,",1,14,21-ECC
317,and,1,14,21-ECC
318,"look,",1,14,21-ECC
319,they,1,14,21-ECC
320,all,1,14,21-ECC
321,amount,1,14,21-ECC
322,to,1,14,21-ECC
323,vapor,1,14,21-ECC
324,and,1,14,21-ECC
325,chasing,1,14,21-ECC
326,the,1,14,21-ECC
327,wind.,1,14,21-ECC
328,\q1,1,14,21-ECC
329,The,1,15,21-ECC
330,twisted,1,15,21-ECC
331,cannot,1,15,21-ECC
332,be,1,15,21-ECC
333,straightened!,1,15,21-ECC
334,\q1,1,15,21-ECC
335,The,1,15,21-ECC
336,missing,1,15,21-ECC
337,cannot,1,15,21-ECC
338,be,1,15,21-ECC
339,counted!,1,15,21-ECC
340,I,1,16,21-ECC
341,have,1,16,21-ECC
342,spoken,1,16,21-ECC
343,to,1,16,21-ECC
344,my,1,16,21-ECC
345,heart,1,16,21-ECC
346,"saying,",1,16,21-ECC
347,"“Look,",1,16,21-ECC
348,I,1,16,21-ECC
349,have,1,16,21-ECC
350,acquired,1,16,21-ECC
351,greater,1,16,21-ECC
352,wisdom,1,16,21-ECC
353,than,1,16,21-ECC
354,all,1,16,21-ECC
355,who,1,16,21-ECC
356,were,1,16,21-ECC
357,before,1,16,21-ECC
358,me,1,16,21-ECC
359,in,1,16,21-ECC
360,Jerusalem.,1,16,21-ECC
361,My,1,16,21-ECC
362,mind,1,16,21-ECC
