,token,alg,alg_id,chapter,verse,book
0,"\w The|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H4853b"" x-lemma=""מַשָּׂא"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מַשָּׂ֖א""\\*']",34-NAM-1,1,1,34-NAM
1," \w declaration|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H4853b"" x-lemma=""מַשָּׂא"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מַשָּׂ֖א""\\*']",34-NAM-1,1,1,34-NAM
2," \w about|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H4853b"" x-lemma=""מַשָּׂא"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מַשָּׂ֖א""\\*']",34-NAM-1,1,1,34-NAM
3,,"['\\zaln-s | x-strong=""H4853b"" x-lemma=""מַשָּׂא"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""מַשָּׂ֖א""\\*']",34-NAM-1,1,1,34-NAM
4," \w Nineveh|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H5210"" x-lemma=""נִינְוֵה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נִֽינְוֵ֑ה""\\*']",34-NAM-2,1,1,34-NAM
5,,"['\\zaln-s | x-strong=""H5210"" x-lemma=""נִינְוֵה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נִֽינְוֵ֑ה""\\*']",34-NAM-2,1,1,34-NAM
6,". \w The|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s | x-strong=""H5612a"" x-lemma=""סֵפֶר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""סֵ֧פֶר""\\*']",34-NAM-3,1,1,34-NAM
7," \w book|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H5612a"" x-lemma=""סֵפֶר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""סֵ֧פֶר""\\*']",34-NAM-3,1,1,34-NAM
8," \w of|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H5612a"" x-lemma=""סֵפֶר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""סֵ֧פֶר""\\*']",34-NAM-3,1,1,34-NAM
9,,"['\\zaln-s | x-strong=""H5612a"" x-lemma=""סֵפֶר"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""סֵ֧פֶר""\\*']",34-NAM-3,1,1,34-NAM
10," \w the|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֛וֹן""\\*']",34-NAM-4,1,1,34-NAM
11," \w vision|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֛וֹן""\\*']",34-NAM-4,1,1,34-NAM
12," \w of|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s | x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֛וֹן""\\*']",34-NAM-4,1,1,34-NAM
13,,"['\\zaln-s | x-strong=""H2377"" x-lemma=""חָזוֹן"" x-morph=""He,Ncmsc"" x-occurrence=""1"" x-occurrences=""1"" x-content=""חֲז֛וֹן""\\*']",34-NAM-4,1,1,34-NAM
14," \w Nahum|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H5151"" x-lemma=""נַחוּם"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נַח֖וּם""\\*']",34-NAM-5,1,1,34-NAM
15,,"['\\zaln-s | x-strong=""H5151"" x-lemma=""נַחוּם"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""נַח֖וּם""\\*']",34-NAM-5,1,1,34-NAM
16,", \w the|x-occurrence=""2"" x-occurrences=""2""","['\\zaln-s | x-strong=""d:H0512"" x-lemma=""אֶלְקֹשִׁי"" x-morph=""He,Td:Ngmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הָ\u2060אֶלְקֹשִֽׁי""\\*']",34-NAM-6,1,1,34-NAM
17," \w Elkoshite|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""d:H0512"" x-lemma=""אֶלְקֹשִׁי"" x-morph=""He,Td:Ngmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הָ\u2060אֶלְקֹשִֽׁי""\\*']",34-NAM-6,1,1,34-NAM
18,,"['\\zaln-s | x-strong=""d:H0512"" x-lemma=""אֶלְקֹשִׁי"" x-morph=""He,Td:Ngmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""הָ\u2060אֶלְקֹשִֽׁי""\\*']",34-NAM-6,1,1,34-NAM
19,.,[],34-NAM-7,1,1,34-NAM
20,"\w Yahweh|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s | x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָ֔ה""\\*']",34-NAM-8,1,2,34-NAM
21,,"['\\zaln-s | x-strong=""H3068"" x-lemma=""יְהֹוָה"" x-morph=""He,Np"" x-occurrence=""1"" x-occurrences=""1"" x-content=""יְהוָ֔ה""\\*']",34-NAM-8,1,2,34-NAM
22," \w is|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""H0410"" x-lemma=""אֵל"" x-morph=""He,Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֵ֣ל""\\*']",34-NAM-9,1,2,34-NAM
23," \w a|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H0410"" x-lemma=""אֵל"" x-morph=""He,Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֵ֣ל""\\*']",34-NAM-9,1,2,34-NAM
24,,"['\\zaln-s | x-strong=""H0410"" x-lemma=""אֵל"" x-morph=""He,Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֵ֣ל""\\*']",34-NAM-9,1,2,34-NAM
25," \w jealous|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H7072"" x-lemma=""קַנּוֹא"" x-morph=""He,Aamsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""קַנּ֤וֹא""\\*']",34-NAM-10,1,2,34-NAM
26,,"['\\zaln-s | x-strong=""H7072"" x-lemma=""קַנּוֹא"" x-morph=""He,Aamsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""קַנּ֤וֹא""\\*']",34-NAM-10,1,2,34-NAM
27," \w God|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s | x-strong=""H0410"" x-lemma=""אֵל"" x-morph=""He,Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֵ֣ל""\\*']",34-NAM-11,1,2,34-NAM
28,,"['\\zaln-s | x-strong=""H0410"" x-lemma=""אֵל"" x-morph=""He,Ncmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""אֵ֣ל""\\*']",34-NAM-11,1,2,34-NAM
29," \w and|x-occurrence=""1"" x-occurrences=""3""","['\\zaln-s | x-strong=""c:H5358"" x-lemma=""נָקַם"" x-morph=""He,C:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נֹקֵם֙""\\*']",34-NAM-12,1,2,34-NAM
30," \w avenges|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s | x-strong=""c:H5358"" x-lemma=""נָקַם"" x-morph=""He,C:Vqrmsa"" x-occurrence=""1"" x-occurrences=""1"" x-content=""וְ\u2060נֹקֵם֙""\\*']",34-NAM-12,1,2,34-NAM
