,token,alg,alg_id,chapter,verse,book
0,"\w That|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G37390"" x-lemma=""ὅς"" x-morph=""Gr,RR,,,,NNS,"" x-occurrence=""1"" x-occurrences=""4"" x-content=""ὃ""\\*']",63-1JN-1,1,1,63-1JN
1," \w which|x-occurrence=""1"" x-occurrences=""4""","['\\zaln-s |x-strong=""G37390"" x-lemma=""ὅς"" x-morph=""Gr,RR,,,,NNS,"" x-occurrence=""1"" x-occurrences=""4"" x-content=""ὃ""\\*']",63-1JN-1,1,1,63-1JN
2,,"['\\zaln-s |x-strong=""G37390"" x-lemma=""ὅς"" x-morph=""Gr,RR,,,,NNS,"" x-occurrence=""1"" x-occurrences=""4"" x-content=""ὃ""\\*']",63-1JN-1,1,1,63-1JN
3," \w was|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G15100"" x-lemma=""εἰμί"" x-morph=""Gr,V,IIA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἦν""\\*']",63-1JN-2,1,1,63-1JN
4,,"['\\zaln-s |x-strong=""G15100"" x-lemma=""εἰμί"" x-morph=""Gr,V,IIA3,,S,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἦν""\\*']",63-1JN-2,1,1,63-1JN
5," \w from|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G05750"" x-lemma=""ἀπό"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπ’""\\*']",63-1JN-3,1,1,63-1JN
6,,"['\\zaln-s |x-strong=""G05750"" x-lemma=""ἀπό"" x-morph=""Gr,P,,,,,G,,,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπ’""\\*']",63-1JN-3,1,1,63-1JN
7," \w the|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G07460"" x-lemma=""ἀρχή"" x-morph=""Gr,N,,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀρχῆς""\\*']",63-1JN-4,1,1,63-1JN
8," \w beginning|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G07460"" x-lemma=""ἀρχή"" x-morph=""Gr,N,,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀρχῆς""\\*']",63-1JN-4,1,1,63-1JN
9,,"['\\zaln-s |x-strong=""G07460"" x-lemma=""ἀρχή"" x-morph=""Gr,N,,,,,GFS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀρχῆς""\\*']",63-1JN-4,1,1,63-1JN
