,token,chapter,verse,book
216,must,1,9,03-LEV
217,wash,1,9,03-LEV
218,with,1,9,03-LEV
219,water.,1,9,03-LEV
220,Then,1,9,03-LEV
221,the,1,9,03-LEV
222,priest,1,9,03-LEV
223,will,1,9,03-LEV
224,burn,1,9,03-LEV
225,everything,1,9,03-LEV
226,on,1,9,03-LEV
227,the,1,9,03-LEV
228,altar,1,9,03-LEV
229,as,1,9,03-LEV
230,a,1,9,03-LEV
231,burnt,1,9,03-LEV
232,offering.,1,9,03-LEV
233,It,1,9,03-LEV
234,will,1,9,03-LEV
235,produce,1,9,03-LEV
236,a,1,9,03-LEV
237,sweet,1,9,03-LEV
238,aroma,1,9,03-LEV
239,for,1,9,03-LEV
240,me;,1,9,03-LEV
241,it,1,9,03-LEV
242,will,1,9,03-LEV
243,be,1,9,03-LEV
244,an,1,9,03-LEV
245,offering,1,9,03-LEV
246,made,1,9,03-LEV
247,to,1,9,03-LEV
248,me,1,9,03-LEV
249,by,1,9,03-LEV
250,fire.,1,9,03-LEV
251,\p,1,9,03-LEV
252,If,1,10,03-LEV
253,his,1,10,03-LEV
254,offering,1,10,03-LEV
255,for,1,10,03-LEV
256,the,1,10,03-LEV
257,burnt,1,10,03-LEV
258,offering,1,10,03-LEV
259,is,1,10,03-LEV
260,from,1,10,03-LEV
261,the,1,10,03-LEV
262,"flock,",1,10,03-LEV
263,one,1,10,03-LEV
264,of,1,10,03-LEV
265,the,1,10,03-LEV
266,sheep,1,10,03-LEV
267,or,1,10,03-LEV
268,one,1,10,03-LEV
269,of,1,10,03-LEV
270,the,1,10,03-LEV
271,"goats,",1,10,03-LEV
272,he,1,10,03-LEV
273,must,1,10,03-LEV
274,offer,1,10,03-LEV
275,a,1,10,03-LEV
276,male,1,10,03-LEV
277,without,1,10,03-LEV
278,blemish.,1,10,03-LEV
279,He,1,11,03-LEV
280,must,1,11,03-LEV
281,kill,1,11,03-LEV
282,it,1,11,03-LEV
283,on,1,11,03-LEV
284,the,1,11,03-LEV
285,north,1,11,03-LEV
286,side,1,11,03-LEV
287,of,1,11,03-LEV
288,the,1,11,03-LEV
289,altar,1,11,03-LEV
290,before,1,11,03-LEV
291,Yahweh.,1,11,03-LEV
292,Aaron’s,1,11,03-LEV
293,"sons,",1,11,03-LEV
294,the,1,11,03-LEV
295,"priests,",1,11,03-LEV
296,will,1,11,03-LEV
297,sprinkle,1,11,03-LEV
298,its,1,11,03-LEV
299,blood,1,11,03-LEV
300,on,1,11,03-LEV
301,every,1,11,03-LEV
302,side,1,11,03-LEV
303,of,1,11,03-LEV
304,the,1,11,03-LEV
305,altar.,1,11,03-LEV
306,He,1,12,03-LEV
307,is,1,12,03-LEV
308,to,1,12,03-LEV
309,cut,1,12,03-LEV
310,it,1,12,03-LEV
311,into,1,12,03-LEV
312,pieces,1,12,03-LEV
313,with,1,12,03-LEV
314,its,1,12,03-LEV
315,head,1,12,03-LEV
316,and,1,12,03-LEV
317,its,1,12,03-LEV
318,"fat,",1,12,03-LEV
319,and,1,12,03-LEV
320,the,1,12,03-LEV
321,priest,1,12,03-LEV
322,must,1,12,03-LEV
323,place,1,12,03-LEV
324,the,1,12,03-LEV
325,pieces,1,12,03-LEV
326,on,1,12,03-LEV
327,the,1,12,03-LEV
328,wood,1,12,03-LEV
329,that,1,12,03-LEV
330,is,1,12,03-LEV
331,on,1,12,03-LEV
332,the,1,12,03-LEV
333,fire,1,12,03-LEV
334,that,1,12,03-LEV
335,is,1,12,03-LEV
336,on,1,12,03-LEV
337,the,1,12,03-LEV
338,"altar,",1,12,03-LEV
339,but,1,13,03-LEV
340,the,1,13,03-LEV
341,inner,1,13,03-LEV
342,parts,1,13,03-LEV
343,and,1,13,03-LEV
344,the,1,13,03-LEV
345,legs,1,13,03-LEV
346,he,1,13,03-LEV
347,must,1,13,03-LEV
348,wash,1,13,03-LEV
349,with,1,13,03-LEV
350,water.,1,13,03-LEV
351,Then,1,13,03-LEV
352,the,1,13,03-LEV
353,priest,1,13,03-LEV
354,will,1,13,03-LEV
355,offer,1,13,03-LEV
356,the,1,13,03-LEV
357,"whole,",1,13,03-LEV
358,and,1,13,03-LEV
359,burn,1,13,03-LEV
360,it,1,13,03-LEV
361,on,1,13,03-LEV
362,the,1,13,03-LEV
