,token,alg,alg_id,chapter,verse,book
0,"\w Simon|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G46130"" x-lemma=""Σίμων"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Σίμων""\\*']",62-2PE-1,1,1,62-2PE
1,,"['\\zaln-s |x-strong=""G46130"" x-lemma=""Σίμων"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Σίμων""\\*']",62-2PE-1,1,1,62-2PE
2," \w Peter|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G40740"" x-lemma=""πέτρος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Πέτρος""\\*']",62-2PE-2,1,1,62-2PE
3,,"['\\zaln-s |x-strong=""G40740"" x-lemma=""πέτρος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""Πέτρος""\\*']",62-2PE-2,1,1,62-2PE
4,", \w a|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G14010"" x-lemma=""δοῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""δοῦλος""\\*']",62-2PE-3,1,1,62-2PE
5," \w slave|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G14010"" x-lemma=""δοῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""δοῦλος""\\*']",62-2PE-3,1,1,62-2PE
6,,"['\\zaln-s |x-strong=""G14010"" x-lemma=""δοῦλος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""δοῦλος""\\*']",62-2PE-3,1,1,62-2PE
7," \w and|x-occurrence=""1"" x-occurrences=""2""","['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""καὶ""\\*']",62-2PE-4,1,1,62-2PE
8,,"['\\zaln-s |x-strong=""G25320"" x-lemma=""καί"" x-morph=""Gr,CC,,,,,,,,"" x-occurrence=""1"" x-occurrences=""2"" x-content=""καὶ""\\*']",62-2PE-4,1,1,62-2PE
9," \w apostle|x-occurrence=""1"" x-occurrences=""1""","['\\zaln-s |x-strong=""G06520"" x-lemma=""ἀπόστολος"" x-morph=""Gr,N,,,,,NMS,"" x-occurrence=""1"" x-occurrences=""1"" x-content=""ἀπόστολος""\\*']",62-2PE-5,1,1,62-2PE
